time,tollgate_id,direction,time_window,date,hour,volume,weekday,media_volume,desvio_padrao_volume
2016-10-18 06:00:00,1,0,"[06:00:00,06:20:00)",2016-10-18,6,13,2,13,
2016-10-18 06:00:00,1,1,"[06:00:00,06:20:00)",2016-10-18,6,37,2,37,
2016-10-18 06:00:00,2,0,"[06:00:00,06:20:00)",2016-10-18,6,24,2,24,
2016-10-18 06:00:00,3,0,"[06:00:00,06:20:00)",2016-10-18,6,30,2,30,
2016-10-18 06:00:00,3,1,"[06:00:00,06:20:00)",2016-10-18,6,23,2,23,
2016-10-18 06:20:00,1,0,"[06:20:00,06:40:00)",2016-10-18,6,17,2,17,
2016-10-18 06:20:00,1,1,"[06:20:00,06:40:00)",2016-10-18,6,47,2,47,
2016-10-18 06:20:00,2,0,"[06:20:00,06:40:00)",2016-10-18,6,36,2,36,
2016-10-18 06:20:00,3,0,"[06:20:00,06:40:00)",2016-10-18,6,42,2,42,
2016-10-18 06:20:00,3,1,"[06:20:00,06:40:00)",2016-10-18,6,29,2,29,
2016-10-18 06:40:00,1,0,"[06:40:00,07:00:00)",2016-10-18,6,21,2,21,
2016-10-18 06:40:00,1,1,"[06:40:00,07:00:00)",2016-10-18,6,72,2,72,
2016-10-18 06:40:00,2,0,"[06:40:00,07:00:00)",2016-10-18,6,46,2,46,
2016-10-18 06:40:00,3,0,"[06:40:00,07:00:00)",2016-10-18,6,85,2,85,
2016-10-18 06:40:00,3,1,"[06:40:00,07:00:00)",2016-10-18,6,50,2,50,
2016-10-18 07:00:00,1,0,"[07:00:00,07:20:00)",2016-10-18,7,31,2,31,
2016-10-18 07:00:00,1,1,"[07:00:00,07:20:00)",2016-10-18,7,68,2,68,
2016-10-18 07:00:00,2,0,"[07:00:00,07:20:00)",2016-10-18,7,83,2,83,
2016-10-18 07:00:00,3,0,"[07:00:00,07:20:00)",2016-10-18,7,114,2,114,
2016-10-18 07:00:00,3,1,"[07:00:00,07:20:00)",2016-10-18,7,56,2,56,
2016-10-18 07:20:00,1,0,"[07:20:00,07:40:00)",2016-10-18,7,28,2,28,
2016-10-18 07:20:00,1,1,"[07:20:00,07:40:00)",2016-10-18,7,94,2,94,
2016-10-18 07:20:00,2,0,"[07:20:00,07:40:00)",2016-10-18,7,87,2,87,
2016-10-18 07:20:00,3,0,"[07:20:00,07:40:00)",2016-10-18,7,131,2,131,
2016-10-18 07:20:00,3,1,"[07:20:00,07:40:00)",2016-10-18,7,77,2,77,
2016-10-18 07:40:00,1,0,"[07:40:00,08:00:00)",2016-10-18,7,47,2,47,
2016-10-18 07:40:00,1,1,"[07:40:00,08:00:00)",2016-10-18,7,105,2,105,
2016-10-18 07:40:00,2,0,"[07:40:00,08:00:00)",2016-10-18,7,97,2,97,
2016-10-18 07:40:00,3,0,"[07:40:00,08:00:00)",2016-10-18,7,164,2,164,
2016-10-18 07:40:00,3,1,"[07:40:00,08:00:00)",2016-10-18,7,91,2,91,
2016-10-18 15:00:00,1,0,"[15:00:00,15:20:00)",2016-10-18,15,52,2,52,
2016-10-18 15:00:00,1,1,"[15:00:00,15:20:00)",2016-10-18,15,72,2,72,
2016-10-18 15:00:00,2,0,"[15:00:00,15:20:00)",2016-10-18,15,74,2,74,
2016-10-18 15:00:00,3,0,"[15:00:00,15:20:00)",2016-10-18,15,116,2,116,
2016-10-18 15:00:00,3,1,"[15:00:00,15:20:00)",2016-10-18,15,81,2,81,
2016-10-18 15:20:00,1,0,"[15:20:00,15:40:00)",2016-10-18,15,38,2,38,
2016-10-18 15:20:00,1,1,"[15:20:00,15:40:00)",2016-10-18,15,102,2,102,
2016-10-18 15:20:00,2,0,"[15:20:00,15:40:00)",2016-10-18,15,78,2,78,
2016-10-18 15:20:00,3,0,"[15:20:00,15:40:00)",2016-10-18,15,87,2,87,
2016-10-18 15:20:00,3,1,"[15:20:00,15:40:00)",2016-10-18,15,91,2,91,
2016-10-18 15:40:00,1,0,"[15:40:00,16:00:00)",2016-10-18,15,35,2,35,
2016-10-18 15:40:00,1,1,"[15:40:00,16:00:00)",2016-10-18,15,116,2,116,
2016-10-18 15:40:00,2,0,"[15:40:00,16:00:00)",2016-10-18,15,53,2,53,
2016-10-18 15:40:00,3,0,"[15:40:00,16:00:00)",2016-10-18,15,106,2,106,
