tollgate_id,time_window,direction,volume
1,"[06:00:00,06:20:00)",0,15.031729916903872
1,"[06:00:00,06:20:00)",1,37.5553707296343
2,"[06:00:00,06:20:00)",0,26.90245026783595
3,"[06:00:00,06:20:00)",0,37.67880302441842
3,"[06:00:00,06:20:00)",1,29.239823319338004
1,"[06:20:00,06:40:00)",0,19.148412093262376
1,"[06:20:00,06:40:00)",1,48.88784223415338
2,"[06:20:00,06:40:00)",0,33.43033358255858
3,"[06:20:00,06:40:00)",0,48.42550073169317
3,"[06:20:00,06:40:00)",1,35.77349323343271
1,"[06:40:00,07:00:00)",0,26.93995269782305
1,"[06:40:00,07:00:00)",1,57.7302373673165
2,"[06:40:00,07:00:00)",0,39.963317028264
3,"[06:40:00,07:00:00)",0,58.53127929754416
3,"[06:40:00,07:00:00)",1,43.30974746062042
1,"[07:00:00,07:20:00)",0,34.10844246283473
1,"[07:00:00,07:20:00)",1,92.7546797183923
2,"[07:00:00,07:20:00)",0,83.06954051521292
3,"[07:00:00,07:20:00)",0,122.26519494261831
3,"[07:00:00,07:20:00)",1,72.24376489785855
1,"[07:20:00,07:40:00)",0,35.6879352131713
1,"[07:20:00,07:40:00)",1,98.56411020953789
2,"[07:20:00,07:40:00)",0,91.65629540838945
3,"[07:20:00,07:40:00)",0,132.0836551552916
3,"[07:20:00,07:40:00)",1,78.10792589564188
1,"[07:40:00,08:00:00)",0,39.87289960431884
1,"[07:40:00,08:00:00)",1,108.80249867332807
2,"[07:40:00,08:00:00)",0,99.88712681433854
3,"[07:40:00,08:00:00)",0,135.37322221670536
3,"[07:40:00,08:00:00)",1,84.87318070838033
1,"[15:00:00,15:20:00)",0,47.36069287763115
1,"[15:00:00,15:20:00)",1,92.58849104481027
2,"[15:00:00,15:20:00)",0,76.56563345567072
3,"[15:00:00,15:20:00)",0,116.95737231849115
3,"[15:00:00,15:20:00)",1,82.52179975107985
1,"[15:20:00,15:40:00)",0,47.296493799475044
1,"[15:20:00,15:40:00)",1,92.58786840518528
2,"[15:20:00,15:40:00)",0,76.67313617130662
3,"[15:20:00,15:40:00)",0,117.08609522583714
3,"[15:20:00,15:40:00)",1,83.28687045905237
1,"[15:40:00,16:00:00)",0,47.19637019857583
1,"[15:40:00,16:00:00)",1,95.38402808868717
2,"[15:40:00,16:00:00)",0,76.69806079246155
3,"[15:40:00,16:00:00)",0,116.27306666634585
3,"[15:40:00,16:00:00)",1,82.28851591116457
1,"[16:00:00,16:20:00)",0,46.99987731764
1,"[16:00:00,16:20:00)",1,103.92889541307893
2,"[16:00:00,16:20:00)",0,72.99369779963438
3,"[16:00:00,16:20:00)",0,119.09317558454129
3,"[16:00:00,16:20:00)",1,95.59719510905583
1,"[16:20:00,16:40:00)",0,46.80693109851224
1,"[16:20:00,16:40:00)",1,100.61336664477346
2,"[16:20:00,16:40:00)",0,73.08024500867566
3,"[16:20:00,16:40:00)",0,120.27527483851651
3,"[16:20:00,16:40:00)",1,94.78301937747212
1,"[16:40:00,17:00:00)",0,46.508336781378
1,"[16:40:00,17:00:00)",1,104.22330796611003
2,"[16:40:00,17:00:00)",0,72.88946040502822
3,"[16:40:00,17:00:00)",0,122.80223473770954
3,"[16:40:00,17:00:00)",1,95.93487488923193
