tollgate_id,time_window,direction,volume
1,"[06:00:00,06:20:00)",0,15.631964285714284
1,"[06:00:00,06:20:00)",1,48.73375
2,"[06:00:00,06:20:00)",0,20.0725
3,"[06:00:00,06:20:00)",0,57.27125
3,"[06:00:00,06:20:00)",1,21.62875
1,"[06:20:00,06:40:00)",0,19.291225112971826
1,"[06:20:00,06:40:00)",1,54.421248727851754
2,"[06:20:00,06:40:00)",0,27.486931729767633
3,"[06:20:00,06:40:00)",0,50.90744696969698
3,"[06:20:00,06:40:00)",1,29.05690440759637
1,"[06:40:00,07:00:00)",0,18.62850976335932
1,"[06:40:00,07:00:00)",1,54.750239251679325
2,"[06:40:00,07:00:00)",0,35.02714618101416
3,"[06:40:00,07:00:00)",0,70.43263099747475
3,"[06:40:00,07:00:00)",1,37.93230408736486
1,"[07:00:00,07:20:00)",0,35.412402293627835
1,"[07:00:00,07:20:00)",1,86.02466145833334
2,"[07:00:00,07:20:00)",0,82.27156006493507
3,"[07:00:00,07:20:00)",0,129.4157462686567
3,"[07:00:00,07:20:00)",1,67.36798538708261
1,"[07:20:00,07:40:00)",0,38.60813766968968
1,"[07:20:00,07:40:00)",1,93.51784556686047
2,"[07:20:00,07:40:00)",0,89.13539814685377
3,"[07:20:00,07:40:00)",0,132.98522639594705
3,"[07:20:00,07:40:00)",1,78.22567620402903
1,"[07:40:00,08:00:00)",0,38.89165215658864
1,"[07:40:00,08:00:00)",1,96.11881538253414
2,"[07:40:00,08:00:00)",0,95.17635926880197
3,"[07:40:00,08:00:00)",0,138.53571550559445
3,"[07:40:00,08:00:00)",1,77.55900016326015
1,"[15:00:00,15:20:00)",0,51.45600033817932
1,"[15:00:00,15:20:00)",1,97.21496636771666
2,"[15:00:00,15:20:00)",0,78.4108392054456
3,"[15:00:00,15:20:00)",0,121.81999943856071
3,"[15:00:00,15:20:00)",1,83.74662841634
1,"[15:20:00,15:40:00)",0,46.592431092770106
1,"[15:20:00,15:40:00)",1,95.94845534866008
2,"[15:20:00,15:40:00)",0,85.19555940241803
3,"[15:20:00,15:40:00)",0,121.51124852880878
3,"[15:20:00,15:40:00)",1,86.40150910761011
1,"[15:40:00,16:00:00)",0,47.25032079876767
1,"[15:40:00,16:00:00)",1,94.49529966852529
2,"[15:40:00,16:00:00)",0,84.71706244825931
3,"[15:40:00,16:00:00)",0,124.59361041242987
3,"[15:40:00,16:00:00)",1,84.52091855058283
1,"[16:00:00,16:20:00)",0,47.9955869770089
1,"[16:00:00,16:20:00)",1,109.39748724261513
2,"[16:00:00,16:20:00)",0,77.89797764027338
3,"[16:00:00,16:20:00)",0,128.2953201091942
3,"[16:00:00,16:20:00)",1,97.87179469066045
1,"[16:20:00,16:40:00)",0,45.83047554459088
1,"[16:20:00,16:40:00)",1,109.11401577900364
2,"[16:20:00,16:40:00)",0,76.83340650847877
3,"[16:20:00,16:40:00)",0,129.20827696672006
3,"[16:20:00,16:40:00)",1,99.55453212891511
1,"[16:40:00,17:00:00)",0,48.793175233787885
1,"[16:40:00,17:00:00)",1,109.5293856042545
2,"[16:40:00,17:00:00)",0,75.11764709854968
3,"[16:40:00,17:00:00)",0,126.75082382159255
3,"[16:40:00,17:00:00)",1,97.81583178462066
1,"[06:00:00,06:20:00)",0,13.985058139534884
1,"[06:00:00,06:20:00)",1,37.939550095942984
2,"[06:00:00,06:20:00)",0,32.288197124233214
3,"[06:00:00,06:20:00)",0,29.62375
3,"[06:00:00,06:20:00)",1,32.20333781362007
1,"[06:20:00,06:40:00)",0,13.422285090211721
1,"[06:20:00,06:40:00)",1,47.286477565914204
2,"[06:20:00,06:40:00)",0,34.39291884976417
3,"[06:20:00,06:40:00)",0,49.5405364080364
3,"[06:20:00,06:40:00)",1,33.0179161821856
1,"[06:40:00,07:00:00)",0,13.946612665433875
1,"[06:40:00,07:00:00)",1,53.82538525782155
2,"[06:40:00,07:00:00)",0,35.022820710777474
3,"[06:40:00,07:00:00)",0,66.06904632867133
3,"[06:40:00,07:00:00)",1,38.11743798495481
1,"[07:00:00,07:20:00)",0,32.400784808243536
1,"[07:00:00,07:20:00)",1,79.34002083333333
2,"[07:00:00,07:20:00)",0,76.66314272235823
3,"[07:00:00,07:20:00)",0,125.73651785714286
3,"[07:00:00,07:20:00)",1,62.68254167360417
1,"[07:20:00,07:40:00)",0,37.60840929594533
1,"[07:20:00,07:40:00)",1,95.70842139207693
2,"[07:20:00,07:40:00)",0,86.170600270416
3,"[07:20:00,07:40:00)",0,131.3560929353761
3,"[07:20:00,07:40:00)",1,71.33687004498624
1,"[07:40:00,08:00:00)",0,39.25513205446572
1,"[07:40:00,08:00:00)",1,100.05018324838082
2,"[07:40:00,08:00:00)",0,92.57820738315878
3,"[07:40:00,08:00:00)",0,139.34330113705562
3,"[07:40:00,08:00:00)",1,73.25698094403161
1,"[15:00:00,15:20:00)",0,39.289744648498534
1,"[15:00:00,15:20:00)",1,96.20210755458356
2,"[15:00:00,15:20:00)",0,69.32032297008769
3,"[15:00:00,15:20:00)",0,115.31914718309164
3,"[15:00:00,15:20:00)",1,78.78832158567342
1,"[15:20:00,15:40:00)",0,40.094390159921616
1,"[15:20:00,15:40:00)",1,96.94747060807128
2,"[15:20:00,15:40:00)",0,71.6508595406056
3,"[15:20:00,15:40:00)",0,112.69473171521065
3,"[15:20:00,15:40:00)",1,78.850820412365
1,"[15:40:00,16:00:00)",0,42.19653277153764
1,"[15:40:00,16:00:00)",1,96.76230838901358
2,"[15:40:00,16:00:00)",0,68.62439737582885
3,"[15:40:00,16:00:00)",0,114.90149128281946
3,"[15:40:00,16:00:00)",1,78.4293668011352
1,"[16:00:00,16:20:00)",0,47.55381363812834
