time_start,volume,direction,tollgate_id,time_window,date,weekday,weekend,hour,day,am_pm,volume_anterior,volume_anterior_2,media_volume,desvio_padrao
2016-09-19 00:10:00,11,0,1,"[00:10:00,00:30:00)",2016-09-19,1,0,0,19,1,0.0,0.0,10.4,3.361547262794322
2016-09-19 00:30:00,9,0,1,"[00:30:00,00:50:00)",2016-09-19,1,0,0,19,1,11.0,0.0,10.6,2.073644135332772
2016-09-19 00:50:00,4,0,1,"[00:50:00,01:10:00)",2016-09-19,1,0,0,19,1,9.0,11.0,6.6,3.714835124201342
2016-09-19 01:10:00,17,0,1,"[01:10:00,01:30:00)",2016-09-19,1,0,1,19,1,4.0,9.0,7.0,6.6332495807108
2016-09-19 01:30:00,9,0,1,"[01:30:00,01:50:00)",2016-09-19,1,0,1,19,1,17.0,4.0,6.2,1.9235384061671346
2016-09-19 01:50:00,10,0,1,"[01:50:00,02:10:00)",2016-09-19,1,0,1,19,1,9.0,17.0,7.6,2.5099800796022267
2016-09-19 02:10:00,10,0,1,"[02:10:00,02:30:00)",2016-09-19,1,0,2,19,1,10.0,9.0,7.4,1.949358868961793
2016-09-19 02:30:00,8,0,1,"[02:30:00,02:50:00)",2016-09-19,1,0,2,19,1,10.0,10.0,7.4,2.3021728866442674
2016-09-19 02:50:00,6,0,1,"[02:50:00,03:10:00)",2016-09-19,1,0,2,19,1,8.0,10.0,7.6,1.51657508881031
2016-09-19 03:10:00,7,0,1,"[03:10:00,03:30:00)",2016-09-19,1,0,3,19,1,6.0,8.0,6.2,2.04939015319192
2016-09-19 03:30:00,7,0,1,"[03:30:00,03:50:00)",2016-09-19,1,0,3,19,1,7.0,6.0,7.0,2.5495097567963922
2016-09-19 03:50:00,9,0,1,"[03:50:00,04:10:00)",2016-09-19,1,0,3,19,1,7.0,7.0,9.4,4.33589667773576
2016-09-19 04:10:00,11,0,1,"[04:10:00,04:30:00)",2016-09-19,1,0,4,19,1,9.0,7.0,10.8,1.4832396974191324
2016-09-19 04:30:00,13,0,1,"[04:30:00,04:50:00)",2016-09-19,1,0,4,19,1,11.0,9.0,13.6,3.2093613071762426
2016-09-19 04:50:00,8,0,1,"[04:50:00,05:10:00)",2016-09-19,1,0,4,19,1,13.0,11.0,7.8,1.7888543819998317
2016-09-19 05:10:00,1,0,1,"[05:10:00,05:30:00)",2016-09-19,1,0,5,19,1,8.0,13.0,2.6,1.51657508881031
2016-09-19 05:30:00,13,0,1,"[05:30:00,05:50:00)",2016-09-19,1,0,5,19,1,1.0,8.0,8.4,2.701851217221259
2016-09-19 05:50:00,11,0,1,"[05:50:00,06:10:00)",2016-09-19,1,0,5,19,1,13.0,1.0,10.0,2.23606797749979
2016-09-19 06:10:00,10,0,1,"[06:10:00,06:30:00)",2016-09-19,1,0,6,19,1,11.0,13.0,15.6,4.159326868617084
2016-09-19 06:30:00,26,0,1,"[06:30:00,06:50:00)",2016-09-19,1,0,6,19,1,10.0,11.0,22.0,5.338539126015656
2016-09-19 06:50:00,32,0,1,"[06:50:00,07:10:00)",2016-09-19,1,0,6,19,1,26.0,10.0,32.8,10.353743284435827
2016-09-19 07:10:00,35,0,1,"[07:10:00,07:30:00)",2016-09-19,1,0,7,19,1,32.0,26.0,38.0,3.0000000000000004
2016-09-19 07:30:00,36,0,1,"[07:30:00,07:50:00)",2016-09-19,1,0,7,19,1,35.0,32.0,42.0,5.099019513592785
2016-09-19 07:50:00,43,0,1,"[07:50:00,08:10:00)",2016-09-19,1,0,7,19,1,36.0,35.0,45.8,3.5637059362410923
2016-09-19 08:10:00,57,0,1,"[08:10:00,08:30:00)",2016-09-19,1,0,8,19,1,43.0,36.0,49.0,9.0
2016-09-19 08:30:00,42,0,1,"[08:30:00,08:50:00)",2016-09-19,1,0,8,19,1,57.0,43.0,50.2,4.8166378315169185
2016-09-19 08:50:00,52,0,1,"[08:50:00,09:10:00)",2016-09-19,1,0,8,19,1,42.0,57.0,48.8,5.0199601592044525
2016-09-19 09:10:00,43,0,1,"[09:10:00,09:30:00)",2016-09-19,1,0,9,19,1,52.0,42.0,47.2,5.357238094391549
2016-09-19 09:30:00,51,0,1,"[09:30:00,09:50:00)",2016-09-19,1,0,9,19,1,43.0,52.0,48.6,4.669047011971501
2016-09-19 09:50:00,41,0,1,"[09:50:00,10:10:00)",2016-09-19,1,0,9,19,1,51.0,43.0,51.4,7.197221686178633
2016-09-19 10:10:00,44,0,1,"[10:10:00,10:30:00)",2016-09-19,1,0,10,19,1,41.0,51.0,43.6,4.722287581247039
2016-09-19 10:30:00,47,0,1,"[10:30:00,10:50:00)",2016-09-19,1,0,10,19,1,44.0,41.0,42.4,6.024948132556827
2016-09-19 10:50:00,37,0,1,"[10:50:00,11:10:00)",2016-09-19,1,0,10,19,1,47.0,44.0,34.2,4.438468204234431
2016-09-19 11:10:00,37,0,1,"[11:10:00,11:30:00)",2016-09-19,1,0,11,19,1,37.0,47.0,35.8,2.949576240750526
2016-09-19 11:30:00,30,0,1,"[11:30:00,11:50:00)",2016-09-19,1,0,11,19,1,37.0,37.0,34.2,8.378544026261364
2016-09-19 11:50:00,34,0,1,"[11:50:00,12:10:00)",2016-09-19,1,0,11,19,1,30.0,37.0,38.6,13.957077057894322
2016-09-19 12:10:00,49,0,1,"[12:10:00,12:30:00)",2016-09-19,1,0,12,19,0,34.0,30.0,40.8,7.854934754662192
2016-09-19 12:30:00,52,0,1,"[12:30:00,12:50:00)",2016-09-19,1,0,12,19,0,49.0,34.0,40.2,6.906518659932803
2016-09-19 12:50:00,46,0,1,"[12:50:00,13:10:00)",2016-09-19,1,0,12,19,0,52.0,49.0,46.0,9.486832980505138
2016-09-19 13:10:00,68,0,1,"[13:10:00,13:30:00)",2016-09-19,1,0,13,19,0,46.0,52.0,51.0,11.40175425099138
2016-09-19 13:30:00,59,0,1,"[13:30:00,13:50:00)",2016-09-19,1,0,13,19,0,68.0,46.0,49.4,6.387487769068525
2016-09-19 13:50:00,54,0,1,"[13:50:00,14:10:00)",2016-09-19,1,0,13,19,0,59.0,68.0,47.0,8.94427190999916
2016-09-19 14:10:00,55,0,1,"[14:10:00,14:30:00)",2016-09-19,1,0,14,19,0,54.0,59.0,43.0,7.648529270389178
2016-09-19 14:30:00,50,0,1,"[14:30:00,14:50:00)",2016-09-19,1,0,14,19,0,55.0,54.0,46.4,4.505552130427524
2016-09-19 14:50:00,57,0,1,"[14:50:00,15:10:00)",2016-09-19,1,0,14,19,0,50.0,55.0,54.0,3.4641016151377544
2016-09-19 15:10:00,42,0,1,"[15:10:00,15:30:00)",2016-09-19,1,0,15,19,0,57.0,50.0,38.8,3.3466401061363023
