,am_pm,date,day,desvio_padrao_am_pm,desvio_padrao_hora_dia,desvio_padrao_weekday,direction,hour,max_volume_dia_am_pm,max_volume_hora_dia,max_volume_weekday,media_volume_dia_am_pm,media_volume_hora_dia,media_volume_weekday,mediana_volume_dia_am_pm,mediana_volume_hora_dia,mediana_volume_weekday,min_volume_dia_am_pm,min_volume_hora_dia,min_volume_weekday,minute,time,time_window,tollgate_id,volume,volume_anterior,volume_anterior_2,week,weekend
18,1,2016-09-19,19,17.413951200133354,7.842193570679061,14.0,0,6,59,32,14,23.722222222222218,21.5,14.0,14.0,19.5,14.0,3,14,14,,2016-09-19 06:15:00,"[06:15:00,06:35:00)",1,14,8.0,14.0,1,0
19,1,2016-09-19,19,17.413951200133354,7.842193570679061,30.0,0,6,59,32,30,23.722222222222218,21.5,30.0,14.0,19.5,30.0,3,14,30,,2016-09-19 06:35:00,"[06:35:00,06:55:00)",1,30,14.0,8.0,1,0
20,1,2016-09-19,19,17.413951200133354,7.842193570679061,32.0,0,6,59,32,32,23.722222222222218,21.5,32.0,14.0,19.5,32.0,3,14,32,,2016-09-19 06:55:00,"[06:55:00,07:15:00)",1,32,30.0,14.0,1,0
21,1,2016-09-19,19,17.413951200133354,8.658329323066123,34.0,0,7,59,55,34,23.722222222222218,40.833333333333336,34.0,14.0,36.5,34.0,3,34,34,,2016-09-19 07:15:00,"[07:15:00,07:35:00)",1,34,32.0,30.0,1,0
22,1,2016-09-19,19,17.413951200133354,8.658329323066123,38.0,0,7,59,55,38,23.722222222222218,40.833333333333336,38.0,14.0,36.5,38.0,3,34,38,,2016-09-19 07:35:00,"[07:35:00,07:55:00)",1,38,34.0,32.0,1,0
23,1,2016-09-19,19,17.413951200133354,8.658329323066123,48.0,0,7,59,55,48,23.722222222222218,40.833333333333336,48.0,14.0,36.5,48.0,3,34,48,,2016-09-19 07:55:00,"[07:55:00,08:15:00)",1,48,38.0,34.0,1,0
90,1,2016-09-20,20,20.4739567004865,5.776388721914987,22.0,0,6,68,32,22,25.51388888888889,23.16666666666667,22.0,14.5,23.0,22.0,2,14,22,,2016-09-20 06:15:00,"[06:15:00,06:35:00)",1,22,9.0,11.0,2,0
91,1,2016-09-20,20,20.4739567004865,5.776388721914987,25.0,0,6,68,32,25,25.51388888888889,23.16666666666667,25.0,14.5,23.0,25.0,2,14,25,,2016-09-20 06:35:00,"[06:35:00,06:55:00)",1,25,22.0,9.0,2,0
92,1,2016-09-20,20,20.4739567004865,5.776388721914987,32.0,0,6,68,32,32,25.51388888888889,23.16666666666667,32.0,14.5,23.0,32.0,2,14,32,,2016-09-20 06:55:00,"[06:55:00,07:15:00)",1,32,25.0,22.0,2,0
93,1,2016-09-20,20,20.4739567004865,8.648699324175862,34.0,0,7,68,48,34,25.51388888888889,38.0,34.0,14.5,37.5,34.0,2,25,34,,2016-09-20 07:15:00,"[07:15:00,07:35:00)",1,34,32.0,25.0,2,0
