time,volume,direction,tollgate_id,time_window,date,week,weekend,hour,minute,day,am_pm,volume_anterior,volume_anterior_2,media_volume_hora_dia,desvio_padrao_hora_dia,min_volume_hora_dia,max_volume_hora_dia,mediana_volume_hora_dia,min_volume_dia_am_pm,max_volume_dia_am_pm,mediana_volume_dia_am_pm,media_volume_dia_am_pm,desvio_padrao_am_pm,media_volume_weekday,min_volume_weekday,max_volume_weekday,desvio_padrao_weekday,mediana_volume_weekday
2016-09-19 00:00:00,13,0,1,"[00:00:00,00:20:00)",2016-09-19,1,0,0,0,19,1,0.0,0.0,9.833333333333334,2.3166067138525404,6,13,10.0,1,59,13.0,23.13888888888889,17.407546975544548,13.0,13,13,13.0,13.0
2016-09-19 00:20:00,6,0,1,"[00:20:00,00:40:00)",2016-09-19,1,0,0,20,19,1,13.0,0.0,9.833333333333334,2.3166067138525404,6,13,10.0,1,59,13.0,23.13888888888889,17.407546975544548,6.0,6,6,6.0,6.0
2016-09-19 00:40:00,9,0,1,"[00:40:00,01:00:00)",2016-09-19,1,0,0,40,19,1,6.0,13.0,9.833333333333334,2.3166067138525404,6,13,10.0,1,59,13.0,23.13888888888889,17.407546975544548,9.0,9,9,9.0,9.0
2016-09-19 01:00:00,10,0,1,"[01:00:00,01:20:00)",2016-09-19,1,0,1,0,19,1,9.0,6.0,10.0,3.1622776601683795,6,14,10.0,1,59,13.0,23.13888888888889,17.407546975544548,10.0,10,10,10.0,10.0
2016-09-19 01:20:00,14,0,1,"[01:20:00,01:40:00)",2016-09-19,1,0,1,20,19,1,10.0,9.0,10.0,3.1622776601683795,6,14,10.0,1,59,13.0,23.13888888888889,17.407546975544548,14.0,14,14,14.0,14.0
2016-09-19 01:40:00,10,0,1,"[01:40:00,02:00:00)",2016-09-19,1,0,1,40,19,1,14.0,10.0,10.0,3.1622776601683795,6,14,10.0,1,59,13.0,23.13888888888889,17.407546975544548,10.0,10,10,10.0,10.0
2016-09-19 02:00:00,7,0,1,"[02:00:00,02:20:00)",2016-09-19,1,0,2,0,19,1,10.0,14.0,7.833333333333333,1.7224014243685084,6,10,7.0,1,59,13.0,23.13888888888889,17.407546975544548,7.0,7,7,7.0,7.0
2016-09-19 02:20:00,10,0,1,"[02:20:00,02:40:00)",2016-09-19,1,0,2,20,19,1,7.0,10.0,7.833333333333333,1.7224014243685084,6,10,7.0,1,59,13.0,23.13888888888889,17.407546975544548,10.0,10,10,10.0,10.0
2016-09-19 02:40:00,6,0,1,"[02:40:00,03:00:00)",2016-09-19,1,0,2,40,19,1,10.0,7.0,7.833333333333333,1.7224014243685084,6,10,7.0,1,59,13.0,23.13888888888889,17.407546975544548,6.0,6,6,6.0,6.0
2016-09-19 03:00:00,9,0,1,"[03:00:00,03:20:00)",2016-09-19,1,0,3,0,19,1,6.0,10.0,6.333333333333333,2.3380903889000244,4,9,6.0,1,59,13.0,23.13888888888889,17.407546975544548,9.0,9,9,9.0,9.0
