time,tollgate_id,direction,time_window,volume,day,hour,minute,week,weekend,am_pm,volume_anterior,volume_anterior_2,volume_proximo,volume_proximo_2,avg_vol_dia_semana,desvio_padrao
2016-09-19 00:00:00,1,0,"[00:00:00,00:20:00)",13,19,0,0,0,0,1,0.0,0.0,6.0,9.0,13.166666666666666,4.750438576243952
2016-09-19 00:00:00,1,1,"[00:00:00,00:20:00)",140,19,0,0,0,0,1,0.0,0.0,56.0,31.0,109.83333333333333,45.327328033611984
2016-09-19 00:00:00,2,0,"[00:00:00,00:20:00)",2,19,0,0,0,0,1,0.0,0.0,1.0,2.0,2.75,0.957427107756338
2016-09-19 00:00:00,3,0,"[00:00:00,00:20:00)",17,19,0,0,0,0,1,0.0,0.0,16.0,16.0,17.0,2.756809750418045
2016-09-19 00:00:00,3,1,"[00:00:00,00:20:00)",181,19,0,0,0,0,1,0.0,0.0,112.0,93.0,126.0,52.68016704605254
2016-09-19 00:20:00,1,0,"[00:20:00,00:40:00)",6,19,0,20,0,0,1,13.0,0.0,9.0,10.0,10.166666666666666,3.8166302763912916
2016-09-19 00:20:00,1,1,"[00:20:00,00:40:00)",56,19,0,20,0,0,1,140.0,0.0,31.0,4.0,51.5,16.428633540255255
2016-09-19 00:20:00,3,0,"[00:20:00,00:40:00)",16,19,0,20,0,0,1,17.0,0.0,16.0,17.0,17.166666666666668,3.430257521916783
2016-09-19 00:20:00,3,1,"[00:20:00,00:40:00)",112,19,0,20,0,0,1,181.0,0.0,93.0,4.0,83.66666666666667,32.903900478008175
2016-09-19 00:40:00,1,0,"[00:40:00,01:00:00)",9,19,0,40,0,0,1,6.0,13.0,10.0,14.0,8.5,2.6645825188948455
2016-09-19 00:40:00,1,1,"[00:40:00,01:00:00)",31,19,0,40,0,0,1,56.0,140.0,4.0,14.0,32.166666666666664,9.867454923467687
2016-09-19 00:40:00,3,0,"[00:40:00,01:00:00)",16,19,0,40,0,0,1,16.0,17.0,17.0,17.0,15.166666666666666,2.994439290863428
2016-09-19 00:40:00,3,1,"[00:40:00,01:00:00)",93,19,0,40,0,0,1,112.0,181.0,4.0,5.0,67.83333333333333,25.317319500031335
2016-09-19 01:00:00,1,0,"[01:00:00,01:20:00)",10,19,1,0,0,0,1,9.0,6.0,14.0,10.0,6.166666666666667,2.8577380332470415
2016-09-19 01:00:00,1,1,"[01:00:00,01:20:00)",4,19,1,0,0,0,1,31.0,56.0,14.0,7.0,4.0,1.5491933384829668
2016-09-19 01:00:00,2,0,"[01:00:00,01:20:00)",1,19,1,0,0,0,1,2.0,0.0,2.0,14.0,1.5,0.7071067811865476
2016-09-19 01:00:00,3,0,"[01:00:00,01:20:00)",17,19,1,0,0,0,1,16.0,16.0,17.0,11.0,19.666666666666668,2.8047578623950167
2016-09-19 01:00:00,3,1,"[01:00:00,01:20:00)",4,19,1,0,0,0,1,93.0,112.0,5.0,4.0,8.5,3.9370039370059056
2016-09-19 01:20:00,1,0,"[01:20:00,01:40:00)",14,19,1,20,0,0,1,10.0,9.0,10.0,7.0,7.5,4.5934736311423405
2016-09-19 01:20:00,1,1,"[01:20:00,01:40:00)",14,19,1,20,0,0,1,4.0,31.0,7.0,7.0,8.333333333333334,4.88535225614967
2016-09-19 01:20:00,3,0,"[01:20:00,01:40:00)",17,19,1,20,0,0,1,17.0,16.0,11.0,11.0,19.333333333333332,4.589843860815601
2016-09-19 01:20:00,3,1,"[01:20:00,01:40:00)",5,19,1,20,0,0,1,4.0,93.0,4.0,5.0,6.166666666666667,3.868677637987775
2016-09-19 01:40:00,1,0,"[01:40:00,02:00:00)",10,19,1,40,0,0,1,14.0,10.0,7.0,10.0,7.833333333333333,1.834847859269718
2016-09-19 01:40:00,1,1,"[01:40:00,02:00:00)",7,19,1,40,0,0,1,14.0,4.0,7.0,7.0,6.333333333333333,3.0767948691238205
2016-09-19 01:40:00,2,0,"[01:40:00,02:00:00)",2,19,1,40,0,0,1,1.0,2.0,14.0,12.0,1.5,0.7071067811865476
2016-09-19 01:40:00,3,0,"[01:40:00,02:00:00)",11,19,1,40,0,0,1,17.0,17.0,11.0,14.0,13.166666666666666,2.9268868558020253
2016-09-19 01:40:00,3,1,"[01:40:00,02:00:00)",4,19,1,40,0,0,1,5.0,4.0,5.0,4.0,4.833333333333333,2.8577380332470415
2016-09-19 02:00:00,1,0,"[02:00:00,02:20:00)",7,19,2,0,0,0,1,10.0,14.0,10.0,6.0,6.333333333333333,1.632993161855452
2016-09-19 02:00:00,1,1,"[02:00:00,02:20:00)",7,19,2,0,0,0,1,7.0,14.0,7.0,10.0,5.833333333333333,1.4719601443879744
2016-09-19 02:00:00,3,0,"[02:00:00,02:20:00)",11,19,2,0,0,0,1,11.0,17.0,14.0,18.0,10.666666666666666,1.505545305418162
2016-09-19 02:00:00,3,1,"[02:00:00,02:20:00)",5,19,2,0,0,0,1,4.0,5.0,4.0,5.0,5.0,2.449489742783178
2016-09-19 02:20:00,1,0,"[02:20:00,02:40:00)",10,19,2,20,0,0,1,7.0,10.0,6.0,9.0,7.0,2.756809750418044
2016-09-19 02:20:00,1,1,"[02:20:00,02:40:00)",7,19,2,20,0,0,1,7.0,7.0,10.0,10.0,6.333333333333333,1.9663841605003498
2016-09-19 02:20:00,3,0,"[02:20:00,02:40:00)",14,19,2,20,0,0,1,11.0,11.0,18.0,10.0,12.333333333333334,1.632993161855452
2016-09-19 02:20:00,3,1,"[02:20:00,02:40:00)",4,19,2,20,0,0,1,5.0,4.0,5.0,3.0,3.8333333333333335,0.752772652709081
2016-09-19 02:40:00,1,0,"[02:40:00,03:00:00)",6,19,2,40,0,0,1,10.0,7.0,9.0,4.0,7.333333333333333,2.7325202042558927
2016-09-19 02:40:00,1,1,"[02:40:00,03:00:00)",10,19,2,40,0,0,1,7.0,7.0,10.0,14.0,6.5,3.082207001484488
2016-09-19 02:40:00,3,0,"[02:40:00,03:00:00)",18,19,2,40,0,0,1,14.0,11.0,10.0,10.0,15.833333333333334,3.7103458958251676
2016-09-19 03:00:00,1,0,"[03:00:00,03:20:00)",9,19,3,0,0,0,1,6.0,10.0,4.0,9.0,6.833333333333333,2.0412414523193148
2016-09-19 03:00:00,1,1,"[03:00:00,03:20:00)",10,19,3,0,0,0,1,10.0,7.0,14.0,20.0,7.5,2.8809720581775866
2016-09-19 03:00:00,3,0,"[03:00:00,03:20:00)",10,19,3,0,0,0,1,18.0,14.0,10.0,9.0,14.666666666666666,3.32665998663324
2016-09-19 03:00:00,3,1,"[03:00:00,03:20:00)",5,19,3,0,0,0,1,4.0,5.0,3.0,10.0,5.0,1.6733200530681511
2016-09-19 03:20:00,1,0,"[03:20:00,03:40:00)",4,19,3,20,0,0,1,9.0,6.0,9.0,10.0,7.166666666666667,3.125166662222459
2016-09-19 03:20:00,1,1,"[03:20:00,03:40:00)",14,19,3,20,0,0,1,10.0,10.0,20.0,18.0,10.666666666666666,3.502380143083653
2016-09-19 03:20:00,3,0,"[03:20:00,03:40:00)",10,19,3,20,0,0,1,10.0,18.0,9.0,11.0,11.833333333333334,2.639444385977221
2016-09-19 03:20:00,3,1,"[03:20:00,03:40:00)",3,19,3,20,0,0,1,5.0,4.0,10.0,4.0,4.6,3.286335345030997
2016-09-19 03:40:00,1,0,"[03:40:00,04:00:00)",9,19,3,40,0,0,1,4.0,9.0,10.0,13.0,8.333333333333334,2.6583202716502514
2016-09-19 03:40:00,1,1,"[03:40:00,04:00:00)",20,19,3,40,0,0,1,14.0,10.0,18.0,17.0,17.833333333333332,3.868677637987775
2016-09-19 03:40:00,3,0,"[03:40:00,04:00:00)",9,19,3,40,0,0,1,10.0,10.0,11.0,8.0,10.0,3.8987177379235853
2016-09-19 03:40:00,3,1,"[03:40:00,04:00:00)",10,19,3,40,0,0,1,3.0,5.0,4.0,7.0,5.333333333333333,2.943920288775949
2016-09-19 04:00:00,1,0,"[04:00:00,04:20:00)",10,19,4,0,0,0,1,9.0,4.0,13.0,12.0,10.333333333333334,5.08592829940284
2016-09-19 04:00:00,1,1,"[04:00:00,04:20:00)",18,19,4,0,0,0,1,20.0,14.0,17.0,23.0,13.833333333333334,3.311595788538611
2016-09-19 04:00:00,3,0,"[04:00:00,04:20:00)",11,19,4,0,0,0,1,9.0,10.0,8.0,10.0,14.166666666666666,3.763863263545405
2016-09-19 04:00:00,3,1,"[04:00:00,04:20:00)",4,19,4,0,0,0,1,10.0,3.0,7.0,3.0,4.666666666666667,1.505545305418162
2016-09-19 04:20:00,1,0,"[04:20:00,04:40:00)",13,19,4,20,0,0,1,10.0,9.0,12.0,2.0,13.5,1.378404875209022
2016-09-19 04:20:00,1,1,"[04:20:00,04:40:00)",17,19,4,20,0,0,1,18.0,20.0,23.0,28.0,18.0,4.33589667773576
2016-09-19 04:20:00,3,0,"[04:20:00,04:40:00)",8,19,4,20,0,0,1,11.0,9.0,10.0,9.0,11.333333333333334,3.723797345005051
2016-09-19 04:20:00,3,1,"[04:20:00,04:40:00)",7,19,4,20,0,0,1,4.0,10.0,3.0,11.0,6.833333333333333,1.8348478592697177
2016-09-19 04:40:00,1,0,"[04:40:00,05:00:00)",12,19,4,40,0,0,1,13.0,10.0,2.0,8.0,12.333333333333334,3.32665998663324
2016-09-19 04:40:00,1,1,"[04:40:00,05:00:00)",23,19,4,40,0,0,1,17.0,18.0,28.0,24.0,22.0,5.176871642217914
2016-09-19 04:40:00,3,0,"[04:40:00,05:00:00)",10,19,4,40,0,0,1,8.0,11.0,9.0,14.0,13.0,3.1622776601683795
