date,holiday,first_last_workday,day_of_week
2016-09-19,0,0,1
2016-09-20,0,0,2
2016-09-21,0,0,3
2016-09-22,0,0,4
2016-09-23,0,2,5
2016-09-24,1,0,6
2016-09-25,1,0,7
2016-09-26,0,1,1
2016-09-27,0,0,2
2016-09-28,0,0,3
2016-09-29,0,0,4
2016-09-30,0,2,5
2016-10-01,2,0,6
2016-10-02,2,0,7
2016-10-03,2,0,1
2016-10-04,2,0,2
2016-10-05,2,0,3
2016-10-06,2,0,4
2016-10-07,2,0,5
2016-10-08,0,1,6
2016-10-09,0,0,7
2016-10-10,0,0,1
2016-10-11,0,0,2
2016-10-12,0,0,3
2016-10-13,0,0,4
2016-10-14,0,2,5
2016-10-15,1,0,6
2016-10-16,1,0,7
2016-10-17,0,1,1
2016-10-18,0,0,2
2016-10-19,0,0,3
2016-10-20,0,0,4
2016-10-21,0,2,5
2016-10-22,1,0,6
2016-10-23,1,0,7
2016-10-24,0,1,1
2016-10-25,0,0,2
2016-10-26,0,0,3
2016-10-27,0,0,4
2016-10-28,0,2,5
2016-10-29,1,0,6
2016-10-30,1,0,7
2016-10-31,0,1,1
2016-11-01,0,0,2
