tollgate_id,direction,volume,time_window
1,0,10,2016-10-25 06:00:00
1,1,37,2016-10-25 06:00:00
2,0,29,2016-10-25 06:00:00
3,0,28,2016-10-25 06:00:00
3,1,30,2016-10-25 06:00:00
1,0,17,2016-10-25 06:20:00
1,1,54,2016-10-25 06:20:00
2,0,26,2016-10-25 06:20:00
3,0,48,2016-10-25 06:20:00
3,1,31,2016-10-25 06:20:00
1,0,30,2016-10-25 06:40:00
1,1,60,2016-10-25 06:40:00
2,0,40,2016-10-25 06:40:00
3,0,91,2016-10-25 06:40:00
3,1,41,2016-10-25 06:40:00
1,0,25,2016-10-25 07:00:00
1,1,66,2016-10-25 07:00:00
2,0,83,2016-10-25 07:00:00
3,0,124,2016-10-25 07:00:00
3,1,59,2016-10-25 07:00:00
1,0,38,2016-10-25 07:20:00
1,1,99,2016-10-25 07:20:00
2,0,95,2016-10-25 07:20:00
3,0,115,2016-10-25 07:20:00
3,1,84,2016-10-25 07:20:00
1,0,44,2016-10-25 07:40:00
1,1,132,2016-10-25 07:40:00
2,0,89,2016-10-25 07:40:00
3,0,134,2016-10-25 07:40:00
3,1,81,2016-10-25 07:40:00
1,0,52,2016-10-25 15:00:00
1,1,91,2016-10-25 15:00:00
2,0,76,2016-10-25 15:00:00
3,0,117,2016-10-25 15:00:00
3,1,76,2016-10-25 15:00:00
1,0,42,2016-10-25 15:20:00
1,1,108,2016-10-25 15:20:00
2,0,64,2016-10-25 15:20:00
3,0,119,2016-10-25 15:20:00
3,1,101,2016-10-25 15:20:00
1,0,46,2016-10-25 15:40:00
1,1,88,2016-10-25 15:40:00
2,0,98,2016-10-25 15:40:00
3,0,117,2016-10-25 15:40:00
3,1,79,2016-10-25 15:40:00
1,0,47,2016-10-25 16:00:00
1,1,110,2016-10-25 16:00:00
2,0,78,2016-10-25 16:00:00
3,0,122,2016-10-25 16:00:00
3,1,91,2016-10-25 16:00:00
1,0,40,2016-10-25 16:20:00
1,1,102,2016-10-25 16:20:00
2,0,83,2016-10-25 16:20:00
3,0,137,2016-10-25 16:20:00
3,1,100,2016-10-25 16:20:00
1,0,50,2016-10-25 16:40:00
1,1,103,2016-10-25 16:40:00
2,0,68,2016-10-25 16:40:00
3,0,113,2016-10-25 16:40:00
3,1,96,2016-10-25 16:40:00
1,0,12,2016-10-26 06:00:00
1,1,37,2016-10-26 06:00:00
2,0,32,2016-10-26 06:00:00
3,0,24,2016-10-26 06:00:00
3,1,21,2016-10-26 06:00:00
1,0,9,2016-10-26 06:20:00
1,1,50,2016-10-26 06:20:00
2,0,27,2016-10-26 06:20:00
