time,tollgate_id,direction,time_window,volume
2016-10-25 06:00:00,1,0,"[06:00:00,06:20:00)",10
2016-10-25 06:00:00,1,1,"[06:00:00,06:20:00)",37
2016-10-25 06:00:00,2,0,"[06:00:00,06:20:00)",29
2016-10-25 06:00:00,3,0,"[06:00:00,06:20:00)",28
2016-10-25 06:00:00,3,1,"[06:00:00,06:20:00)",30
2016-10-25 06:20:00,1,0,"[06:20:00,06:40:00)",17
2016-10-25 06:20:00,1,1,"[06:20:00,06:40:00)",54
2016-10-25 06:20:00,2,0,"[06:20:00,06:40:00)",26
2016-10-25 06:20:00,3,0,"[06:20:00,06:40:00)",48
2016-10-25 06:20:00,3,1,"[06:20:00,06:40:00)",31
2016-10-25 06:40:00,1,0,"[06:40:00,07:00:00)",30
2016-10-25 06:40:00,1,1,"[06:40:00,07:00:00)",60
2016-10-25 06:40:00,2,0,"[06:40:00,07:00:00)",40
2016-10-25 06:40:00,3,0,"[06:40:00,07:00:00)",91
2016-10-25 06:40:00,3,1,"[06:40:00,07:00:00)",41
2016-10-25 07:00:00,1,0,"[07:00:00,07:20:00)",25
2016-10-25 07:00:00,1,1,"[07:00:00,07:20:00)",66
2016-10-25 07:00:00,2,0,"[07:00:00,07:20:00)",83
2016-10-25 07:00:00,3,0,"[07:00:00,07:20:00)",124
2016-10-25 07:00:00,3,1,"[07:00:00,07:20:00)",59
2016-10-25 07:20:00,1,0,"[07:20:00,07:40:00)",38
2016-10-25 07:20:00,1,1,"[07:20:00,07:40:00)",99
2016-10-25 07:20:00,2,0,"[07:20:00,07:40:00)",95
2016-10-25 07:20:00,3,0,"[07:20:00,07:40:00)",115
2016-10-25 07:20:00,3,1,"[07:20:00,07:40:00)",84
2016-10-25 07:40:00,1,0,"[07:40:00,08:00:00)",44
2016-10-25 07:40:00,1,1,"[07:40:00,08:00:00)",132
2016-10-25 07:40:00,2,0,"[07:40:00,08:00:00)",89
2016-10-25 07:40:00,3,0,"[07:40:00,08:00:00)",134
2016-10-25 07:40:00,3,1,"[07:40:00,08:00:00)",81
2016-10-25 15:00:00,1,0,"[15:00:00,15:20:00)",52
2016-10-25 15:00:00,1,1,"[15:00:00,15:20:00)",91
2016-10-25 15:00:00,2,0,"[15:00:00,15:20:00)",76
2016-10-25 15:00:00,3,0,"[15:00:00,15:20:00)",117
2016-10-25 15:00:00,3,1,"[15:00:00,15:20:00)",76
2016-10-25 15:20:00,1,0,"[15:20:00,15:40:00)",42
2016-10-25 15:20:00,1,1,"[15:20:00,15:40:00)",108
2016-10-25 15:20:00,2,0,"[15:20:00,15:40:00)",64
2016-10-25 15:20:00,3,0,"[15:20:00,15:40:00)",119
2016-10-25 15:20:00,3,1,"[15:20:00,15:40:00)",101
2016-10-25 15:40:00,1,0,"[15:40:00,16:00:00)",46
2016-10-25 15:40:00,1,1,"[15:40:00,16:00:00)",88
2016-10-25 15:40:00,2,0,"[15:40:00,16:00:00)",98
2016-10-25 15:40:00,3,0,"[15:40:00,16:00:00)",117
2016-10-25 15:40:00,3,1,"[15:40:00,16:00:00)",79
2016-10-25 16:00:00,1,0,"[16:00:00,16:20:00)",47
2016-10-25 16:00:00,1,1,"[16:00:00,16:20:00)",110
2016-10-25 16:00:00,2,0,"[16:00:00,16:20:00)",78
2016-10-25 16:00:00,3,0,"[16:00:00,16:20:00)",122
2016-10-25 16:00:00,3,1,"[16:00:00,16:20:00)",91
2016-10-25 16:20:00,1,0,"[16:20:00,16:40:00)",40
2016-10-25 16:20:00,1,1,"[16:20:00,16:40:00)",102
2016-10-25 16:20:00,2,0,"[16:20:00,16:40:00)",83
2016-10-25 16:20:00,3,0,"[16:20:00,16:40:00)",137
2016-10-25 16:20:00,3,1,"[16:20:00,16:40:00)",100
2016-10-25 16:40:00,1,0,"[16:40:00,17:00:00)",50
2016-10-25 16:40:00,1,1,"[16:40:00,17:00:00)",103
2016-10-25 16:40:00,2,0,"[16:40:00,17:00:00)",68
2016-10-25 16:40:00,3,0,"[16:40:00,17:00:00)",113
2016-10-25 16:40:00,3,1,"[16:40:00,17:00:00)",96
2016-10-26 06:00:00,1,0,"[06:00:00,06:20:00)",12
2016-10-26 06:00:00,1,1,"[06:00:00,06:20:00)",37
2016-10-26 06:00:00,2,0,"[06:00:00,06:20:00)",32
2016-10-26 06:00:00,3,0,"[06:00:00,06:20:00)",24
2016-10-26 06:00:00,3,1,"[06:00:00,06:20:00)",21
