tollgate_id,time_window,direction,volume,time,date,hour,miniute,am_pm,0,1,2,3,4,5,period_num,precipitation,rel_humidity
1,2016-09-19 06:15:00,0,14,2016-09-19 06:15:00,2016-09-19,6,15,1,10,9,8,18,5,10,0.75,0.0,56.0
1,2016-09-19 06:35:00,0,30,2016-09-19 06:35:00,2016-09-19,6,35,1,10,9,8,18,5,10,1.75,0.0,56.0
1,2016-09-19 06:55:00,0,32,2016-09-19 06:55:00,2016-09-19,6,55,1,10,9,8,18,5,10,2.75,0.0,56.0
1,2016-09-19 07:15:00,0,34,2016-09-19 07:15:00,2016-09-19,7,15,1,10,9,8,18,5,10,0.75,,
1,2016-09-19 07:35:00,0,38,2016-09-19 07:35:00,2016-09-19,7,35,1,10,9,8,18,5,10,1.75,,
1,2016-09-19 07:55:00,0,48,2016-09-19 07:55:00,2016-09-19,7,55,1,10,9,8,18,5,10,2.75,,
1,2016-09-19 15:15:00,0,51,2016-09-19 15:15:00,2016-09-19,15,15,0,62,55,59,52,51,51,0.75,0.0,80.0
1,2016-09-19 15:35:00,0,44,2016-09-19 15:35:00,2016-09-19,15,35,0,62,55,59,52,51,51,1.75,0.0,80.0
1,2016-09-19 15:55:00,0,41,2016-09-19 15:55:00,2016-09-19,15,55,0,62,55,59,52,51,51,2.75,0.0,80.0
1,2016-09-19 16:15:00,0,49,2016-09-19 16:15:00,2016-09-19,16,15,0,62,55,59,52,51,51,0.75,,
1,2016-09-19 16:35:00,0,49,2016-09-19 16:35:00,2016-09-19,16,35,0,62,55,59,52,51,51,1.75,,
1,2016-09-19 16:55:00,0,43,2016-09-19 16:55:00,2016-09-19,16,55,0,62,55,59,52,51,51,2.75,,
1,2016-09-20 06:15:00,0,22,2016-09-20 06:15:00,2016-09-20,6,15,1,12,9,6,6,2,7,0.75,0.0,43.0
1,2016-09-20 06:35:00,0,25,2016-09-20 06:35:00,2016-09-20,6,35,1,12,9,6,6,2,7,1.75,0.0,43.0
1,2016-09-20 06:55:00,0,32,2016-09-20 06:55:00,2016-09-20,6,55,1,12,9,6,6,2,7,2.75,0.0,43.0
1,2016-09-20 07:15:00,0,34,2016-09-20 07:15:00,2016-09-20,7,15,1,12,9,6,6,2,7,0.75,,
1,2016-09-20 07:35:00,0,34,2016-09-20 07:35:00,2016-09-20,7,35,1,12,9,6,6,2,7,1.75,,
1,2016-09-20 07:55:00,0,48,2016-09-20 07:55:00,2016-09-20,7,55,1,12,9,6,6,2,7,2.75,,
1,2016-09-20 15:15:00,0,65,2016-09-20 15:15:00,2016-09-20,15,15,0,87,87,76,85,78,68,0.75,0.0,65.0
1,2016-09-20 15:35:00,0,77,2016-09-20 15:35:00,2016-09-20,15,35,0,87,87,76,85,78,68,1.75,0.0,65.0
1,2016-09-20 15:55:00,0,52,2016-09-20 15:55:00,2016-09-20,15,55,0,87,87,76,85,78,68,2.75,0.0,65.0
1,2016-09-20 16:15:00,0,49,2016-09-20 16:15:00,2016-09-20,16,15,0,87,87,76,85,78,68,0.75,,
1,2016-09-20 16:35:00,0,54,2016-09-20 16:35:00,2016-09-20,16,35,0,87,87,76,85,78,68,1.75,,
1,2016-09-20 16:55:00,0,42,2016-09-20 16:55:00,2016-09-20,16,55,0,87,87,76,85,78,68,2.75,,
1,2016-09-21 06:15:00,0,37,2016-09-21 06:15:00,2016-09-21,6,15,1,5,10,6,3,7,6,0.75,0.0,56.0
1,2016-09-21 06:35:00,0,67,2016-09-21 06:35:00,2016-09-21,6,35,1,5,10,6,3,7,6,1.75,0.0,56.0
1,2016-09-21 06:55:00,0,64,2016-09-21 06:55:00,2016-09-21,6,55,1,5,10,6,3,7,6,2.75,0.0,56.0
1,2016-09-21 07:15:00,0,96,2016-09-21 07:15:00,2016-09-21,7,15,1,5,10,6,3,7,6,0.75,,
1,2016-09-21 07:35:00,0,89,2016-09-21 07:35:00,2016-09-21,7,35,1,5,10,6,3,7,6,1.75,,
1,2016-09-21 07:55:00,0,114,2016-09-21 07:55:00,2016-09-21,7,55,1,5,10,6,3,7,6,2.75,,
1,2016-09-21 15:15:00,0,45,2016-09-21 15:15:00,2016-09-21,15,15,0,40,49,55,43,51,54,0.75,0.0,93.0
1,2016-09-21 15:35:00,0,43,2016-09-21 15:35:00,2016-09-21,15,35,0,40,49,55,43,51,54,1.75,0.0,93.0
1,2016-09-21 15:55:00,0,45,2016-09-21 15:55:00,2016-09-21,15,55,0,40,49,55,43,51,54,2.75,0.0,93.0
1,2016-09-21 16:15:00,0,47,2016-09-21 16:15:00,2016-09-21,16,15,0,40,49,55,43,51,54,0.75,,
1,2016-09-21 16:35:00,0,46,2016-09-21 16:35:00,2016-09-21,16,35,0,40,49,55,43,51,54,1.75,,
1,2016-09-21 16:55:00,0,47,2016-09-21 16:55:00,2016-09-21,16,55,0,40,49,55,43,51,54,2.75,,
1,2016-09-22 06:15:00,0,13,2016-09-22 06:15:00,2016-09-22,6,15,1,9,12,10,9,12,4,0.75,0.0,54.0
1,2016-09-22 06:35:00,0,27,2016-09-22 06:35:00,2016-09-22,6,35,1,9,12,10,9,12,4,1.75,0.0,54.0
1,2016-09-22 06:55:00,0,31,2016-09-22 06:55:00,2016-09-22,6,55,1,9,12,10,9,12,4,2.75,0.0,54.0
1,2016-09-22 07:15:00,0,37,2016-09-22 07:15:00,2016-09-22,7,15,1,9,12,10,9,12,4,0.75,,
1,2016-09-22 07:35:00,0,39,2016-09-22 07:35:00,2016-09-22,7,35,1,9,12,10,9,12,4,1.75,,
1,2016-09-22 07:55:00,0,44,2016-09-22 07:55:00,2016-09-22,7,55,1,9,12,10,9,12,4,2.75,,
1,2016-09-22 15:15:00,0,48,2016-09-22 15:15:00,2016-09-22,15,15,0,58,54,47,50,31,54,0.75,0.0,80.0
1,2016-09-22 15:35:00,0,61,2016-09-22 15:35:00,2016-09-22,15,35,0,58,54,47,50,31,54,1.75,0.0,80.0
1,2016-09-22 15:55:00,0,62,2016-09-22 15:55:00,2016-09-22,15,55,0,58,54,47,50,31,54,2.75,0.0,80.0
1,2016-09-22 16:15:00,0,49,2016-09-22 16:15:00,2016-09-22,16,15,0,58,54,47,50,31,54,0.75,,
1,2016-09-22 16:35:00,0,42,2016-09-22 16:35:00,2016-09-22,16,35,0,58,54,47,50,31,54,1.75,,
1,2016-09-22 16:55:00,0,36,2016-09-22 16:55:00,2016-09-22,16,55,0,58,54,47,50,31,54,2.75,,
1,2016-09-23 06:15:00,0,18,2016-09-23 06:15:00,2016-09-23,6,15,1,11,10,5,9,5,5,0.75,0.0,53.0
1,2016-09-23 06:35:00,0,28,2016-09-23 06:35:00,2016-09-23,6,35,1,11,10,5,9,5,5,1.75,0.0,53.0
1,2016-09-23 06:55:00,0,31,2016-09-23 06:55:00,2016-09-23,6,55,1,11,10,5,9,5,5,2.75,0.0,53.0
1,2016-09-23 07:15:00,0,38,2016-09-23 07:15:00,2016-09-23,7,15,1,11,10,5,9,5,5,0.75,,
1,2016-09-23 07:35:00,0,43,2016-09-23 07:35:00,2016-09-23,7,35,1,11,10,5,9,5,5,1.75,,
1,2016-09-23 07:55:00,0,45,2016-09-23 07:55:00,2016-09-23,7,55,1,11,10,5,9,5,5,2.75,,
1,2016-09-23 15:15:00,0,56,2016-09-23 15:15:00,2016-09-23,15,15,0,71,44,60,53,53,56,0.75,0.0,79.0
1,2016-09-23 15:35:00,0,72,2016-09-23 15:35:00,2016-09-23,15,35,0,71,44,60,53,53,56,1.75,0.0,79.0
1,2016-09-23 15:55:00,0,82,2016-09-23 15:55:00,2016-09-23,15,55,0,71,44,60,53,53,56,2.75,0.0,79.0
1,2016-09-23 16:15:00,0,81,2016-09-23 16:15:00,2016-09-23,16,15,0,71,44,60,53,53,56,0.75,,
1,2016-09-23 16:35:00,0,57,2016-09-23 16:35:00,2016-09-23,16,35,0,71,44,60,53,53,56,1.75,,
1,2016-09-23 16:55:00,0,44,2016-09-23 16:55:00,2016-09-23,16,55,0,71,44,60,53,53,56,2.75,,
1,2016-09-24 06:15:00,0,17,2016-09-24 06:15:00,2016-09-24,6,15,1,12,8,10,7,10,9,0.75,0.0,55.0
1,2016-09-24 06:35:00,0,19,2016-09-24 06:35:00,2016-09-24,6,35,1,12,8,10,7,10,9,1.75,0.0,55.0
1,2016-09-24 06:55:00,0,23,2016-09-24 06:55:00,2016-09-24,6,55,1,12,8,10,7,10,9,2.75,0.0,55.0
1,2016-09-24 07:15:00,0,36,2016-09-24 07:15:00,2016-09-24,7,15,1,12,8,10,7,10,9,0.75,,
1,2016-09-24 07:35:00,0,31,2016-09-24 07:35:00,2016-09-24,7,35,1,12,8,10,7,10,9,1.75,,
1,2016-09-24 07:55:00,0,45,2016-09-24 07:55:00,2016-09-24,7,55,1,12,8,10,7,10,9,2.75,,
1,2016-09-24 15:15:00,0,62,2016-09-24 15:15:00,2016-09-24,15,15,0,46,53,61,48,78,63,0.75,0.0,82.0
1,2016-09-24 15:35:00,0,59,2016-09-24 15:35:00,2016-09-24,15,35,0,46,53,61,48,78,63,1.75,0.0,82.0
1,2016-09-24 15:55:00,0,94,2016-09-24 15:55:00,2016-09-24,15,55,0,46,53,61,48,78,63,2.75,0.0,82.0
1,2016-09-24 16:15:00,0,53,2016-09-24 16:15:00,2016-09-24,16,15,0,46,53,61,48,78,63,0.75,,
1,2016-09-24 16:35:00,0,55,2016-09-24 16:35:00,2016-09-24,16,35,0,46,53,61,48,78,63,1.75,,
1,2016-09-24 16:55:00,0,57,2016-09-24 16:55:00,2016-09-24,16,55,0,46,53,61,48,78,63,2.75,,
1,2016-09-25 06:15:00,0,14,2016-09-25 06:15:00,2016-09-25,6,15,1,13,6,9,4,5,3,0.75,0.0,58.0
1,2016-09-25 06:35:00,0,23,2016-09-25 06:35:00,2016-09-25,6,35,1,13,6,9,4,5,3,1.75,0.0,58.0
1,2016-09-25 06:55:00,0,21,2016-09-25 06:55:00,2016-09-25,6,55,1,13,6,9,4,5,3,2.75,0.0,58.0
1,2016-09-25 07:15:00,0,19,2016-09-25 07:15:00,2016-09-25,7,15,1,13,6,9,4,5,3,0.75,,
1,2016-09-25 07:35:00,0,29,2016-09-25 07:35:00,2016-09-25,7,35,1,13,6,9,4,5,3,1.75,,
1,2016-09-25 07:55:00,0,38,2016-09-25 07:55:00,2016-09-25,7,55,1,13,6,9,4,5,3,2.75,,
1,2016-09-25 15:15:00,0,60,2016-09-25 15:15:00,2016-09-25,15,15,0,61,60,62,58,85,70,0.75,0.0,85.0
1,2016-09-25 15:35:00,0,57,2016-09-25 15:35:00,2016-09-25,15,35,0,61,60,62,58,85,70,1.75,0.0,85.0
1,2016-09-25 15:55:00,0,66,2016-09-25 15:55:00,2016-09-25,15,55,0,61,60,62,58,85,70,2.75,0.0,85.0
1,2016-09-25 16:15:00,0,69,2016-09-25 16:15:00,2016-09-25,16,15,0,61,60,62,58,85,70,0.75,,
1,2016-09-25 16:35:00,0,66,2016-09-25 16:35:00,2016-09-25,16,35,0,61,60,62,58,85,70,1.75,,
1,2016-09-25 16:55:00,0,64,2016-09-25 16:55:00,2016-09-25,16,55,0,61,60,62,58,85,70,2.75,,
1,2016-09-26 06:15:00,0,20,2016-09-26 06:15:00,2016-09-26,6,15,1,7,11,4,1,8,7,0.75,0.0,56.0
1,2016-09-26 06:35:00,0,34,2016-09-26 06:35:00,2016-09-26,6,35,1,7,11,4,1,8,7,1.75,0.0,56.0
1,2016-09-26 06:55:00,0,44,2016-09-26 06:55:00,2016-09-26,6,55,1,7,11,4,1,8,7,2.75,0.0,56.0
1,2016-09-26 07:15:00,0,40,2016-09-26 07:15:00,2016-09-26,7,15,1,7,11,4,1,8,7,0.75,,
1,2016-09-26 07:35:00,0,42,2016-09-26 07:35:00,2016-09-26,7,35,1,7,11,4,1,8,7,1.75,,
1,2016-09-26 07:55:00,0,49,2016-09-26 07:55:00,2016-09-26,7,55,1,7,11,4,1,8,7,2.75,,
1,2016-09-26 15:15:00,0,38,2016-09-26 15:15:00,2016-09-26,15,15,0,48,51,46,30,56,40,0.75,0.0,86.0
1,2016-09-26 15:35:00,0,51,2016-09-26 15:35:00,2016-09-26,15,35,0,48,51,46,30,56,40,1.75,0.0,86.0
1,2016-09-26 15:55:00,0,48,2016-09-26 15:55:00,2016-09-26,15,55,0,48,51,46,30,56,40,2.75,0.0,86.0
1,2016-09-26 16:15:00,0,55,2016-09-26 16:15:00,2016-09-26,16,15,0,48,51,46,30,56,40,0.75,,
1,2016-09-26 16:35:00,0,47,2016-09-26 16:35:00,2016-09-26,16,35,0,48,51,46,30,56,40,1.75,,
1,2016-09-26 16:55:00,0,47,2016-09-26 16:55:00,2016-09-26,16,55,0,48,51,46,30,56,40,2.75,,
1,2016-09-27 06:15:00,0,19,2016-09-27 06:15:00,2016-09-27,6,15,1,18,11,6,5,10,4,0.75,0.0,63.0
1,2016-09-27 06:35:00,0,31,2016-09-27 06:35:00,2016-09-27,6,35,1,18,11,6,5,10,4,1.75,0.0,63.0
1,2016-09-27 06:55:00,0,44,2016-09-27 06:55:00,2016-09-27,6,55,1,18,11,6,5,10,4,2.75,0.0,63.0
1,2016-09-27 07:15:00,0,65,2016-09-27 07:15:00,2016-09-27,7,15,1,18,11,6,5,10,4,0.75,,
1,2016-09-27 07:35:00,0,38,2016-09-27 07:35:00,2016-09-27,7,35,1,18,11,6,5,10,4,1.75,,
1,2016-09-27 07:55:00,0,48,2016-09-27 07:55:00,2016-09-27,7,55,1,18,11,6,5,10,4,2.75,,
1,2016-09-27 15:15:00,0,42,2016-09-27 15:15:00,2016-09-27,15,15,0,59,89,57,47,39,36,0.75,0.0,87.0
1,2016-09-27 15:35:00,0,46,2016-09-27 15:35:00,2016-09-27,15,35,0,59,89,57,47,39,36,1.75,0.0,87.0
1,2016-09-27 15:55:00,0,61,2016-09-27 15:55:00,2016-09-27,15,55,0,59,89,57,47,39,36,2.75,0.0,87.0
1,2016-09-27 16:15:00,0,58,2016-09-27 16:15:00,2016-09-27,16,15,0,59,89,57,47,39,36,0.75,,
1,2016-09-27 16:35:00,0,43,2016-09-27 16:35:00,2016-09-27,16,35,0,59,89,57,47,39,36,1.75,,
1,2016-09-27 16:55:00,0,49,2016-09-27 16:55:00,2016-09-27,16,55,0,59,89,57,47,39,36,2.75,,
1,2016-09-28 06:15:00,0,47,2016-09-28 06:15:00,2016-09-28,6,15,1,5,13,11,10,7,6,0.75,5.5,94.0
1,2016-09-28 06:35:00,0,46,2016-09-28 06:35:00,2016-09-28,6,35,1,5,13,11,10,7,6,1.75,5.5,94.0
1,2016-09-28 06:55:00,0,71,2016-09-28 06:55:00,2016-09-28,6,55,1,5,13,11,10,7,6,2.75,5.5,94.0
1,2016-09-28 07:15:00,0,89,2016-09-28 07:15:00,2016-09-28,7,15,1,5,13,11,10,7,6,0.75,,
1,2016-09-28 07:35:00,0,93,2016-09-28 07:35:00,2016-09-28,7,35,1,5,13,11,10,7,6,1.75,,
1,2016-09-28 07:55:00,0,119,2016-09-28 07:55:00,2016-09-28,7,55,1,5,13,11,10,7,6,2.75,,
1,2016-09-28 15:15:00,0,103,2016-09-28 15:15:00,2016-09-28,15,15,0,102,100,103,98,95,92,0.75,1.8,95.0
1,2016-09-28 15:35:00,0,87,2016-09-28 15:35:00,2016-09-28,15,35,0,102,100,103,98,95,92,1.75,1.8,95.0
1,2016-09-28 15:55:00,0,101,2016-09-28 15:55:00,2016-09-28,15,55,0,102,100,103,98,95,92,2.75,1.8,95.0
1,2016-09-28 16:15:00,0,103,2016-09-28 16:15:00,2016-09-28,16,15,0,102,100,103,98,95,92,0.75,,
1,2016-09-28 16:35:00,0,55,2016-09-28 16:35:00,2016-09-28,16,35,0,102,100,103,98,95,92,1.75,,
1,2016-09-28 16:55:00,0,29,2016-09-28 16:55:00,2016-09-28,16,55,0,102,100,103,98,95,92,2.75,,
1,2016-09-29 06:15:00,0,7,2016-09-29 06:15:00,2016-09-29,6,15,1,9,9,2,6,9,9,0.75,0.1,95.0
1,2016-09-29 06:35:00,0,16,2016-09-29 06:35:00,2016-09-29,6,35,1,9,9,2,6,9,9,1.75,0.1,95.0
1,2016-09-29 06:55:00,0,22,2016-09-29 06:55:00,2016-09-29,6,55,1,9,9,2,6,9,9,2.75,0.1,95.0
1,2016-09-29 07:15:00,0,28,2016-09-29 07:15:00,2016-09-29,7,15,1,9,9,2,6,9,9,0.75,,
1,2016-09-29 07:35:00,0,36,2016-09-29 07:35:00,2016-09-29,7,35,1,9,9,2,6,9,9,1.75,,
1,2016-09-29 07:55:00,0,36,2016-09-29 07:55:00,2016-09-29,7,55,1,9,9,2,6,9,9,2.75,,
1,2016-09-29 15:15:00,0,63,2016-09-29 15:15:00,2016-09-29,15,15,0,34,39,53,35,52,56,0.75,0.3,97.0
1,2016-09-29 15:35:00,0,55,2016-09-29 15:35:00,2016-09-29,15,35,0,34,39,53,35,52,56,1.75,0.3,97.0
1,2016-09-29 15:55:00,0,59,2016-09-29 15:55:00,2016-09-29,15,55,0,34,39,53,35,52,56,2.75,0.3,97.0
1,2016-09-29 16:15:00,0,49,2016-09-29 16:15:00,2016-09-29,16,15,0,34,39,53,35,52,56,0.75,,
1,2016-09-29 16:35:00,0,54,2016-09-29 16:35:00,2016-09-29,16,35,0,34,39,53,35,52,56,1.75,,
1,2016-09-29 16:55:00,0,33,2016-09-29 16:55:00,2016-09-29,16,55,0,34,39,53,35,52,56,2.75,,
1,2016-09-30 06:15:00,0,18,2016-09-30 06:15:00,2016-09-30,6,15,1,19,9,10,11,9,9,0.75,0.0,80.0
1,2016-09-30 06:35:00,0,21,2016-09-30 06:35:00,2016-09-30,6,35,1,19,9,10,11,9,9,1.75,0.0,80.0
1,2016-09-30 06:55:00,0,28,2016-09-30 06:55:00,2016-09-30,6,55,1,19,9,10,11,9,9,2.75,0.0,80.0
1,2016-09-30 07:15:00,0,28,2016-09-30 07:15:00,2016-09-30,7,15,1,19,9,10,11,9,9,0.75,,
