time_start,volume,direction,tollgate_id,time_window,weekday,weekend,date,hour,minute,holiday
2016-09-19 00:10:00,11,0,1,"[00:10:00,00:30:00)",1,0,2016-09-19,0,10,False
2016-09-19 00:30:00,9,0,1,"[00:30:00,00:50:00)",1,0,2016-09-19,0,30,False
2016-09-19 00:50:00,4,0,1,"[00:50:00,01:10:00)",1,0,2016-09-19,0,50,False
2016-09-19 01:10:00,17,0,1,"[01:10:00,01:30:00)",1,0,2016-09-19,1,10,False
2016-09-19 01:30:00,9,0,1,"[01:30:00,01:50:00)",1,0,2016-09-19,1,30,False
2016-09-19 01:50:00,10,0,1,"[01:50:00,02:10:00)",1,0,2016-09-19,1,50,False
2016-09-19 02:10:00,10,0,1,"[02:10:00,02:30:00)",1,0,2016-09-19,2,10,False
2016-09-19 02:30:00,8,0,1,"[02:30:00,02:50:00)",1,0,2016-09-19,2,30,False
2016-09-19 02:50:00,6,0,1,"[02:50:00,03:10:00)",1,0,2016-09-19,2,50,False
2016-09-19 03:10:00,7,0,1,"[03:10:00,03:30:00)",1,0,2016-09-19,3,10,False
2016-09-19 03:30:00,7,0,1,"[03:30:00,03:50:00)",1,0,2016-09-19,3,30,False
2016-09-19 03:50:00,9,0,1,"[03:50:00,04:10:00)",1,0,2016-09-19,3,50,False
2016-09-19 04:10:00,11,0,1,"[04:10:00,04:30:00)",1,0,2016-09-19,4,10,False
2016-09-19 04:30:00,13,0,1,"[04:30:00,04:50:00)",1,0,2016-09-19,4,30,False
2016-09-19 04:50:00,8,0,1,"[04:50:00,05:10:00)",1,0,2016-09-19,4,50,False
2016-09-19 05:10:00,1,0,1,"[05:10:00,05:30:00)",1,0,2016-09-19,5,10,False
2016-09-19 05:30:00,13,0,1,"[05:30:00,05:50:00)",1,0,2016-09-19,5,30,False
2016-09-19 05:50:00,11,0,1,"[05:50:00,06:10:00)",1,0,2016-09-19,5,50,False
2016-09-19 06:10:00,10,0,1,"[06:10:00,06:30:00)",1,0,2016-09-19,6,10,False
2016-09-19 06:30:00,26,0,1,"[06:30:00,06:50:00)",1,0,2016-09-19,6,30,False
2016-09-19 06:50:00,32,0,1,"[06:50:00,07:10:00)",1,0,2016-09-19,6,50,False
2016-09-19 07:10:00,35,0,1,"[07:10:00,07:30:00)",1,0,2016-09-19,7,10,False
2016-09-19 07:30:00,36,0,1,"[07:30:00,07:50:00)",1,0,2016-09-19,7,30,False
2016-09-19 07:50:00,43,0,1,"[07:50:00,08:10:00)",1,0,2016-09-19,7,50,False
2016-09-19 08:10:00,57,0,1,"[08:10:00,08:30:00)",1,0,2016-09-19,8,10,False
2016-09-19 08:30:00,42,0,1,"[08:30:00,08:50:00)",1,0,2016-09-19,8,30,False
2016-09-19 08:50:00,52,0,1,"[08:50:00,09:10:00)",1,0,2016-09-19,8,50,False
2016-09-19 09:10:00,43,0,1,"[09:10:00,09:30:00)",1,0,2016-09-19,9,10,False
2016-09-19 09:30:00,51,0,1,"[09:30:00,09:50:00)",1,0,2016-09-19,9,30,False
2016-09-19 09:50:00,41,0,1,"[09:50:00,10:10:00)",1,0,2016-09-19,9,50,False
2016-09-19 10:10:00,44,0,1,"[10:10:00,10:30:00)",1,0,2016-09-19,10,10,False
2016-09-19 10:30:00,47,0,1,"[10:30:00,10:50:00)",1,0,2016-09-19,10,30,False
2016-09-19 10:50:00,37,0,1,"[10:50:00,11:10:00)",1,0,2016-09-19,10,50,False
2016-09-19 11:10:00,37,0,1,"[11:10:00,11:30:00)",1,0,2016-09-19,11,10,False
2016-09-19 11:30:00,30,0,1,"[11:30:00,11:50:00)",1,0,2016-09-19,11,30,False
2016-09-19 11:50:00,34,0,1,"[11:50:00,12:10:00)",1,0,2016-09-19,11,50,False
2016-09-19 12:10:00,49,0,1,"[12:10:00,12:30:00)",1,0,2016-09-19,12,10,False
2016-09-19 12:30:00,52,0,1,"[12:30:00,12:50:00)",1,0,2016-09-19,12,30,False
2016-09-19 12:50:00,46,0,1,"[12:50:00,13:10:00)",1,0,2016-09-19,12,50,False
2016-09-19 13:10:00,68,0,1,"[13:10:00,13:30:00)",1,0,2016-09-19,13,10,False
2016-09-19 13:30:00,59,0,1,"[13:30:00,13:50:00)",1,0,2016-09-19,13,30,False
2016-09-19 13:50:00,54,0,1,"[13:50:00,14:10:00)",1,0,2016-09-19,13,50,False
2016-09-19 14:10:00,55,0,1,"[14:10:00,14:30:00)",1,0,2016-09-19,14,10,False
2016-09-19 14:30:00,50,0,1,"[14:30:00,14:50:00)",1,0,2016-09-19,14,30,False
2016-09-19 14:50:00,57,0,1,"[14:50:00,15:10:00)",1,0,2016-09-19,14,50,False
