,date,min_volume_weekday,max_volume_weekday,mediana_volume_weekday,media_volume_weekday,desvio_padrao_weekday
0,2016-09-19,13,13,13.0,13.0,13.0
1,2016-09-19,140,140,140.0,140.0,140.0
2,2016-09-19,2,2,2.0,2.0,2.0
3,2016-09-19,17,17,17.0,17.0,17.0
4,2016-09-19,181,181,181.0,181.0,181.0
5,2016-09-19,6,6,6.0,6.0,6.0
6,2016-09-19,56,56,56.0,56.0,56.0
7,2016-09-19,16,16,16.0,16.0,16.0
8,2016-09-19,112,112,112.0,112.0,112.0
9,2016-09-19,9,9,9.0,9.0,9.0
10,2016-09-19,31,31,31.0,31.0,31.0
11,2016-09-19,16,16,16.0,16.0,16.0
12,2016-09-19,93,93,93.0,93.0,93.0
13,2016-09-19,10,10,10.0,10.0,10.0
14,2016-09-19,4,4,4.0,4.0,4.0
15,2016-09-19,1,1,1.0,1.0,1.0
16,2016-09-19,17,17,17.0,17.0,17.0
17,2016-09-19,4,4,4.0,4.0,4.0
18,2016-09-19,14,14,14.0,14.0,14.0
19,2016-09-19,14,14,14.0,14.0,14.0
20,2016-09-19,17,17,17.0,17.0,17.0
21,2016-09-19,5,5,5.0,5.0,5.0
22,2016-09-19,10,10,10.0,10.0,10.0
23,2016-09-19,7,7,7.0,7.0,7.0
24,2016-09-19,2,2,2.0,2.0,2.0
25,2016-09-19,11,11,11.0,11.0,11.0
26,2016-09-19,4,4,4.0,4.0,4.0
27,2016-09-19,7,7,7.0,7.0,7.0
28,2016-09-19,7,7,7.0,7.0,7.0
29,2016-09-19,11,11,11.0,11.0,11.0
30,2016-09-19,5,5,5.0,5.0,5.0
31,2016-09-19,10,10,10.0,10.0,10.0
32,2016-09-19,7,7,7.0,7.0,7.0
33,2016-09-19,14,14,14.0,14.0,14.0
34,2016-09-19,4,4,4.0,4.0,4.0
35,2016-09-19,6,6,6.0,6.0,6.0
36,2016-09-19,10,10,10.0,10.0,10.0
37,2016-09-19,18,18,18.0,18.0,18.0
38,2016-09-19,9,9,9.0,9.0,9.0
39,2016-09-19,10,10,10.0,10.0,10.0
40,2016-09-19,10,10,10.0,10.0,10.0
41,2016-09-19,5,5,5.0,5.0,5.0
42,2016-09-19,4,4,4.0,4.0,4.0
43,2016-09-19,14,14,14.0,14.0,14.0
44,2016-09-19,10,10,10.0,10.0,10.0
45,2016-09-19,3,3,3.0,3.0,3.0
46,2016-09-19,9,9,9.0,9.0,9.0
47,2016-09-19,20,20,20.0,20.0,20.0
48,2016-09-19,9,9,9.0,9.0,9.0
49,2016-09-19,10,10,10.0,10.0,10.0
50,2016-09-19,10,10,10.0,10.0,10.0
51,2016-09-19,18,18,18.0,18.0,18.0
52,2016-09-19,11,11,11.0,11.0,11.0
53,2016-09-19,4,4,4.0,4.0,4.0
54,2016-09-19,13,13,13.0,13.0,13.0
55,2016-09-19,17,17,17.0,17.0,17.0
56,2016-09-19,8,8,8.0,8.0,8.0
57,2016-09-19,7,7,7.0,7.0,7.0
58,2016-09-19,12,12,12.0,12.0,12.0
59,2016-09-19,23,23,23.0,23.0,23.0
60,2016-09-19,10,10,10.0,10.0,10.0
61,2016-09-19,3,3,3.0,3.0,3.0
62,2016-09-19,2,2,2.0,2.0,2.0
63,2016-09-19,28,28,28.0,28.0,28.0
64,2016-09-19,14,14,14.0,14.0,14.0
65,2016-09-19,9,9,9.0,9.0,9.0
66,2016-09-19,11,11,11.0,11.0,11.0
67,2016-09-19,8,8,8.0,8.0,8.0
68,2016-09-19,24,24,24.0,24.0,24.0
69,2016-09-19,12,12,12.0,12.0,12.0
70,2016-09-19,14,14,14.0,14.0,14.0
71,2016-09-19,7,7,7.0,7.0,7.0
72,2016-09-19,13,13,13.0,13.0,13.0
73,2016-09-19,34,34,34.0,34.0,34.0
74,2016-09-19,21,21,21.0,21.0,21.0
75,2016-09-19,27,27,27.0,27.0,27.0
76,2016-09-19,13,13,13.0,13.0,13.0
77,2016-09-19,8,8,8.0,8.0,8.0
78,2016-09-19,39,39,39.0,39.0,39.0
79,2016-09-19,30,30,30.0,30.0,30.0
80,2016-09-19,39,39,39.0,39.0,39.0
81,2016-09-19,30,30,30.0,30.0,30.0
