time,tollgate_id,direction,time_window,volume,day,hour,minute,week,weekend,am_pm
2016-10-25 06:00:00,1,0,"[06:00:00,06:20:00)",10,25,6,0,1,0,1
2016-10-25 06:00:00,1,1,"[06:00:00,06:20:00)",37,25,6,0,1,0,1
2016-10-25 06:00:00,2,0,"[06:00:00,06:20:00)",29,25,6,0,1,0,1
2016-10-25 06:00:00,3,0,"[06:00:00,06:20:00)",28,25,6,0,1,0,1
2016-10-25 06:00:00,3,1,"[06:00:00,06:20:00)",30,25,6,0,1,0,1
2016-10-25 06:20:00,1,0,"[06:20:00,06:40:00)",17,25,6,20,1,0,1
2016-10-25 06:20:00,1,1,"[06:20:00,06:40:00)",54,25,6,20,1,0,1
2016-10-25 06:20:00,2,0,"[06:20:00,06:40:00)",27,25,6,20,1,0,1
2016-10-25 06:20:00,3,0,"[06:20:00,06:40:00)",48,25,6,20,1,0,1
2016-10-25 06:20:00,3,1,"[06:20:00,06:40:00)",31,25,6,20,1,0,1
2016-10-25 06:40:00,1,0,"[06:40:00,07:00:00)",30,25,6,40,1,0,1
2016-10-25 06:40:00,1,1,"[06:40:00,07:00:00)",63,25,6,40,1,0,1
2016-10-25 06:40:00,2,0,"[06:40:00,07:00:00)",40,25,6,40,1,0,1
2016-10-25 06:40:00,3,0,"[06:40:00,07:00:00)",92,25,6,40,1,0,1
2016-10-25 06:40:00,3,1,"[06:40:00,07:00:00)",42,25,6,40,1,0,1
2016-10-25 07:00:00,1,0,"[07:00:00,07:20:00)",25,25,7,0,1,0,1
2016-10-25 07:00:00,1,1,"[07:00:00,07:20:00)",67,25,7,0,1,0,1
2016-10-25 07:00:00,2,0,"[07:00:00,07:20:00)",83,25,7,0,1,0,1
2016-10-25 07:00:00,3,0,"[07:00:00,07:20:00)",129,25,7,0,1,0,1
2016-10-25 07:00:00,3,1,"[07:00:00,07:20:00)",62,25,7,0,1,0,1
2016-10-25 07:20:00,1,0,"[07:20:00,07:40:00)",38,25,7,20,1,0,1
2016-10-25 07:20:00,1,1,"[07:20:00,07:40:00)",99,25,7,20,1,0,1
2016-10-25 07:20:00,2,0,"[07:20:00,07:40:00)",98,25,7,20,1,0,1
2016-10-25 07:20:00,3,0,"[07:20:00,07:40:00)",131,25,7,20,1,0,1
2016-10-25 07:20:00,3,1,"[07:20:00,07:40:00)",89,25,7,20,1,0,1
2016-10-25 07:40:00,1,0,"[07:40:00,08:00:00)",44,25,7,40,1,0,1
2016-10-25 07:40:00,1,1,"[07:40:00,08:00:00)",133,25,7,40,1,0,1
2016-10-25 07:40:00,2,0,"[07:40:00,08:00:00)",93,25,7,40,1,0,1
2016-10-25 07:40:00,3,0,"[07:40:00,08:00:00)",139,25,7,40,1,0,1
2016-10-25 07:40:00,3,1,"[07:40:00,08:00:00)",84,25,7,40,1,0,1
2016-10-25 15:00:00,1,0,"[15:00:00,15:20:00)",52,25,15,0,1,0,0
2016-10-25 15:00:00,1,1,"[15:00:00,15:20:00)",92,25,15,0,1,0,0
2016-10-25 15:00:00,2,0,"[15:00:00,15:20:00)",77,25,15,0,1,0,0
2016-10-25 15:00:00,3,0,"[15:00:00,15:20:00)",125,25,15,0,1,0,0
2016-10-25 15:00:00,3,1,"[15:00:00,15:20:00)",79,25,15,0,1,0,0
2016-10-25 15:20:00,1,0,"[15:20:00,15:40:00)",44,25,15,20,1,0,0
2016-10-25 15:20:00,1,1,"[15:20:00,15:40:00)",111,25,15,20,1,0,0
2016-10-25 15:20:00,2,0,"[15:20:00,15:40:00)",66,25,15,20,1,0,0
2016-10-25 15:20:00,3,0,"[15:20:00,15:40:00)",123,25,15,20,1,0,0
2016-10-25 15:20:00,3,1,"[15:20:00,15:40:00)",101,25,15,20,1,0,0
2016-10-25 15:40:00,1,0,"[15:40:00,16:00:00)",46,25,15,40,1,0,0
2016-10-25 15:40:00,1,1,"[15:40:00,16:00:00)",89,25,15,40,1,0,0
2016-10-25 15:40:00,2,0,"[15:40:00,16:00:00)",100,25,15,40,1,0,0
2016-10-25 15:40:00,3,0,"[15:40:00,16:00:00)",124,25,15,40,1,0,0
2016-10-25 15:40:00,3,1,"[15:40:00,16:00:00)",81,25,15,40,1,0,0
2016-10-25 16:00:00,1,0,"[16:00:00,16:20:00)",50,25,16,0,1,0,0
2016-10-25 16:00:00,1,1,"[16:00:00,16:20:00)",113,25,16,0,1,0,0
2016-10-25 16:00:00,2,0,"[16:00:00,16:20:00)",78,25,16,0,1,0,0
2016-10-25 16:00:00,3,0,"[16:00:00,16:20:00)",126,25,16,0,1,0,0
2016-10-25 16:00:00,3,1,"[16:00:00,16:20:00)",96,25,16,0,1,0,0
2016-10-25 16:20:00,1,0,"[16:20:00,16:40:00)",40,25,16,20,1,0,0
2016-10-25 16:20:00,1,1,"[16:20:00,16:40:00)",107,25,16,20,1,0,0
2016-10-25 16:20:00,2,0,"[16:20:00,16:40:00)",83,25,16,20,1,0,0
2016-10-25 16:20:00,3,0,"[16:20:00,16:40:00)",141,25,16,20,1,0,0
2016-10-25 16:20:00,3,1,"[16:20:00,16:40:00)",104,25,16,20,1,0,0
2016-10-25 16:40:00,1,0,"[16:40:00,17:00:00)",50,25,16,40,1,0,0
2016-10-25 16:40:00,1,1,"[16:40:00,17:00:00)",108,25,16,40,1,0,0
2016-10-25 16:40:00,2,0,"[16:40:00,17:00:00)",69,25,16,40,1,0,0
2016-10-25 16:40:00,3,0,"[16:40:00,17:00:00)",118,25,16,40,1,0,0
2016-10-25 16:40:00,3,1,"[16:40:00,17:00:00)",98,25,16,40,1,0,0
2016-10-26 06:00:00,1,0,"[06:00:00,06:20:00)",12,26,6,0,2,0,1
2016-10-26 06:00:00,1,1,"[06:00:00,06:20:00)",37,26,6,0,2,0,1
2016-10-26 06:00:00,2,0,"[06:00:00,06:20:00)",32,26,6,0,2,0,1
2016-10-26 06:00:00,3,0,"[06:00:00,06:20:00)",24,26,6,0,2,0,1
2016-10-26 06:00:00,3,1,"[06:00:00,06:20:00)",21,26,6,0,2,0,1
