time,tollgate_id,direction,time_window,volume,day,hour,minute,week,weekend,am_pm
2016-09-19 00:00:00,1,0,"[00:00:00,00:20:00)",13,19,0,0,0,0,1
2016-09-19 00:00:00,1,1,"[00:00:00,00:20:00)",140,19,0,0,0,0,1
2016-09-19 00:00:00,2,0,"[00:00:00,00:20:00)",2,19,0,0,0,0,1
2016-09-19 00:00:00,3,0,"[00:00:00,00:20:00)",17,19,0,0,0,0,1
2016-09-19 00:00:00,3,1,"[00:00:00,00:20:00)",181,19,0,0,0,0,1
2016-09-19 00:20:00,1,0,"[00:20:00,00:40:00)",6,19,0,20,0,0,1
2016-09-19 00:20:00,1,1,"[00:20:00,00:40:00)",56,19,0,20,0,0,1
2016-09-19 00:20:00,3,0,"[00:20:00,00:40:00)",16,19,0,20,0,0,1
2016-09-19 00:20:00,3,1,"[00:20:00,00:40:00)",112,19,0,20,0,0,1
2016-09-19 00:40:00,1,0,"[00:40:00,01:00:00)",9,19,0,40,0,0,1
2016-09-19 00:40:00,1,1,"[00:40:00,01:00:00)",31,19,0,40,0,0,1
2016-09-19 00:40:00,3,0,"[00:40:00,01:00:00)",16,19,0,40,0,0,1
2016-09-19 00:40:00,3,1,"[00:40:00,01:00:00)",93,19,0,40,0,0,1
2016-09-19 01:00:00,1,0,"[01:00:00,01:20:00)",10,19,1,0,0,0,1
2016-09-19 01:00:00,1,1,"[01:00:00,01:20:00)",4,19,1,0,0,0,1
2016-09-19 01:00:00,2,0,"[01:00:00,01:20:00)",1,19,1,0,0,0,1
2016-09-19 01:00:00,3,0,"[01:00:00,01:20:00)",17,19,1,0,0,0,1
2016-09-19 01:00:00,3,1,"[01:00:00,01:20:00)",4,19,1,0,0,0,1
2016-09-19 01:20:00,1,0,"[01:20:00,01:40:00)",14,19,1,20,0,0,1
2016-09-19 01:20:00,1,1,"[01:20:00,01:40:00)",14,19,1,20,0,0,1
2016-09-19 01:20:00,3,0,"[01:20:00,01:40:00)",17,19,1,20,0,0,1
2016-09-19 01:20:00,3,1,"[01:20:00,01:40:00)",5,19,1,20,0,0,1
2016-09-19 01:40:00,1,0,"[01:40:00,02:00:00)",10,19,1,40,0,0,1
2016-09-19 01:40:00,1,1,"[01:40:00,02:00:00)",7,19,1,40,0,0,1
2016-09-19 01:40:00,2,0,"[01:40:00,02:00:00)",2,19,1,40,0,0,1
2016-09-19 01:40:00,3,0,"[01:40:00,02:00:00)",11,19,1,40,0,0,1
2016-09-19 01:40:00,3,1,"[01:40:00,02:00:00)",4,19,1,40,0,0,1
2016-09-19 02:00:00,1,0,"[02:00:00,02:20:00)",7,19,2,0,0,0,1
2016-09-19 02:00:00,1,1,"[02:00:00,02:20:00)",7,19,2,0,0,0,1
2016-09-19 02:00:00,3,0,"[02:00:00,02:20:00)",11,19,2,0,0,0,1
2016-09-19 02:00:00,3,1,"[02:00:00,02:20:00)",5,19,2,0,0,0,1
2016-09-19 02:20:00,1,0,"[02:20:00,02:40:00)",10,19,2,20,0,0,1
2016-09-19 02:20:00,1,1,"[02:20:00,02:40:00)",7,19,2,20,0,0,1
2016-09-19 02:20:00,3,0,"[02:20:00,02:40:00)",14,19,2,20,0,0,1
2016-09-19 02:20:00,3,1,"[02:20:00,02:40:00)",4,19,2,20,0,0,1
2016-09-19 02:40:00,1,0,"[02:40:00,03:00:00)",6,19,2,40,0,0,1
2016-09-19 02:40:00,1,1,"[02:40:00,03:00:00)",10,19,2,40,0,0,1
2016-09-19 02:40:00,3,0,"[02:40:00,03:00:00)",18,19,2,40,0,0,1
2016-09-19 03:00:00,1,0,"[03:00:00,03:20:00)",9,19,3,0,0,0,1
2016-09-19 03:00:00,1,1,"[03:00:00,03:20:00)",10,19,3,0,0,0,1
2016-09-19 03:00:00,3,0,"[03:00:00,03:20:00)",10,19,3,0,0,0,1
2016-09-19 03:00:00,3,1,"[03:00:00,03:20:00)",5,19,3,0,0,0,1
2016-09-19 03:20:00,1,0,"[03:20:00,03:40:00)",4,19,3,20,0,0,1
2016-09-19 03:20:00,1,1,"[03:20:00,03:40:00)",14,19,3,20,0,0,1
2016-09-19 03:20:00,3,0,"[03:20:00,03:40:00)",10,19,3,20,0,0,1
2016-09-19 03:20:00,3,1,"[03:20:00,03:40:00)",3,19,3,20,0,0,1
2016-09-19 03:40:00,1,0,"[03:40:00,04:00:00)",9,19,3,40,0,0,1
2016-09-19 03:40:00,1,1,"[03:40:00,04:00:00)",20,19,3,40,0,0,1
2016-09-19 03:40:00,3,0,"[03:40:00,04:00:00)",9,19,3,40,0,0,1
2016-09-19 03:40:00,3,1,"[03:40:00,04:00:00)",10,19,3,40,0,0,1
2016-09-19 04:00:00,1,0,"[04:00:00,04:20:00)",10,19,4,0,0,0,1
2016-09-19 04:00:00,1,1,"[04:00:00,04:20:00)",18,19,4,0,0,0,1
2016-09-19 04:00:00,3,0,"[04:00:00,04:20:00)",11,19,4,0,0,0,1
2016-09-19 04:00:00,3,1,"[04:00:00,04:20:00)",4,19,4,0,0,0,1
2016-09-19 04:20:00,1,0,"[04:20:00,04:40:00)",13,19,4,20,0,0,1
2016-09-19 04:20:00,1,1,"[04:20:00,04:40:00)",17,19,4,20,0,0,1
2016-09-19 04:20:00,3,0,"[04:20:00,04:40:00)",8,19,4,20,0,0,1
2016-09-19 04:20:00,3,1,"[04:20:00,04:40:00)",7,19,4,20,0,0,1
2016-09-19 04:40:00,1,0,"[04:40:00,05:00:00)",12,19,4,40,0,0,1
2016-09-19 04:40:00,1,1,"[04:40:00,05:00:00)",23,19,4,40,0,0,1
2016-09-19 04:40:00,3,0,"[04:40:00,05:00:00)",10,19,4,40,0,0,1
2016-09-19 04:40:00,3,1,"[04:40:00,05:00:00)",3,19,4,40,0,0,1
2016-09-19 05:00:00,1,0,"[05:00:00,05:20:00)",2,19,5,0,0,0,1
2016-09-19 05:00:00,1,1,"[05:00:00,05:20:00)",28,19,5,0,0,0,1
2016-09-19 05:00:00,2,0,"[05:00:00,05:20:00)",14,19,5,0,0,0,1
2016-09-19 05:00:00,3,0,"[05:00:00,05:20:00)",9,19,5,0,0,0,1
2016-09-19 05:00:00,3,1,"[05:00:00,05:20:00)",11,19,5,0,0,0,1
2016-09-19 05:20:00,1,0,"[05:20:00,05:40:00)",8,19,5,20,0,0,1
2016-09-19 05:20:00,1,1,"[05:20:00,05:40:00)",24,19,5,20,0,0,1
2016-09-19 05:20:00,2,0,"[05:20:00,05:40:00)",12,19,5,20,0,0,1
2016-09-19 05:20:00,3,0,"[05:20:00,05:40:00)",14,19,5,20,0,0,1
