time_start,volume,direction,tollgate_id,time_window,date,weekday,weekend,hour,minute,day,am_pm,volume_anterior,volume_anterior_2,media_volume,desvio_padrao
2016-09-19 00:00:00,13,0,1,"[00:00:00,00:20:00)",2016-09-19,1,0,0,0,19,1,0.0,0.0,11.4,2.1908902300206647
2016-09-19 00:20:00,6,0,1,"[00:20:00,00:40:00)",2016-09-19,1,0,0,20,19,1,13.0,0.0,10.0,4.242640687119285
2016-09-19 00:40:00,9,0,1,"[00:40:00,01:00:00)",2016-09-19,1,0,0,40,19,1,6.0,13.0,8.4,2.9664793948382653
2016-09-19 01:00:00,10,0,1,"[01:00:00,01:20:00)",2016-09-19,1,0,1,0,19,1,9.0,6.0,5.8,3.03315017762062
2016-09-19 01:20:00,14,0,1,"[01:20:00,01:40:00)",2016-09-19,1,0,1,20,19,1,10.0,9.0,7.2,5.06951674225463
2016-09-19 01:40:00,10,0,1,"[01:40:00,02:00:00)",2016-09-19,1,0,1,40,19,1,14.0,10.0,7.6,1.949358868961793
2016-09-19 02:00:00,7,0,1,"[02:00:00,02:20:00)",2016-09-19,1,0,2,0,19,1,10.0,14.0,6.0,1.5811388300841898
2016-09-19 02:20:00,10,0,1,"[02:20:00,02:40:00)",2016-09-19,1,0,2,20,19,1,7.0,10.0,7.4,2.8809720581775866
2016-09-19 02:40:00,6,0,1,"[02:40:00,03:00:00)",2016-09-19,1,0,2,40,19,1,10.0,7.0,7.8,2.7748873851023217
2016-09-19 03:00:00,9,0,1,"[03:00:00,03:20:00)",2016-09-19,1,0,3,0,19,1,6.0,10.0,7.4,1.6733200530681513
2016-09-19 03:20:00,4,0,1,"[03:20:00,03:40:00)",2016-09-19,1,0,3,20,19,1,9.0,6.0,6.2,2.280350850198276
2016-09-19 03:40:00,9,0,1,"[03:40:00,04:00:00)",2016-09-19,1,0,3,40,19,1,4.0,9.0,7.4,1.5165750888103104
2016-09-19 04:00:00,10,0,1,"[04:00:00,04:20:00)",2016-09-19,1,0,4,0,19,1,9.0,4.0,9.6,5.319774431308154
2016-09-19 04:20:00,13,0,1,"[04:20:00,04:40:00)",2016-09-19,1,0,4,20,19,1,10.0,9.0,13.6,1.51657508881031
2016-09-19 04:40:00,12,0,1,"[04:40:00,05:00:00)",2016-09-19,1,0,4,40,19,1,13.0,10.0,12.6,3.646916505762094
2016-09-19 05:00:00,2,0,1,"[05:00:00,05:20:00)",2016-09-19,1,0,5,0,19,1,12.0,13.0,3.4,1.949358868961793
2016-09-19 05:20:00,8,0,1,"[05:20:00,05:40:00)",2016-09-19,1,0,5,20,19,1,2.0,12.0,4.8,1.9235384061671346
2016-09-19 05:40:00,13,0,1,"[05:40:00,06:00:00)",2016-09-19,1,0,5,40,19,1,8.0,2.0,9.0,2.7386127875258306
2016-09-19 06:00:00,8,0,1,"[06:00:00,06:20:00)",2016-09-19,1,0,6,0,19,1,13.0,8.0,13.0,3.5355339059327378
2016-09-19 06:20:00,13,0,1,"[06:20:00,06:40:00)",2016-09-19,1,0,6,20,19,1,8.0,13.0,17.6,4.560701700396551
2016-09-19 06:40:00,32,0,1,"[06:40:00,07:00:00)",2016-09-19,1,0,6,40,19,1,13.0,8.0,26.4,8.96102672688794
2016-09-19 07:00:00,39,0,1,"[07:00:00,07:20:00)",2016-09-19,1,0,7,0,19,1,32.0,13.0,39.4,5.029910535983716
2016-09-19 07:20:00,31,0,1,"[07:20:00,07:40:00)",2016-09-19,1,0,7,20,19,1,39.0,32.0,37.6,5.128352561983235
2016-09-19 07:40:00,43,0,1,"[07:40:00,08:00:00)",2016-09-19,1,0,7,40,19,1,31.0,39.0,45.0,6.96419413859206
