time_start,volume,direction,tollgate_id,time_window,date,weekday,weekend,hour,day,am_pm
2016-09-19 00:10:00,11,0,1,"[00:10:00,00:30:00)",2016-09-19,1,0,0,19,1
2016-09-19 00:30:00,9,0,1,"[00:30:00,00:50:00)",2016-09-19,1,0,0,19,1
2016-09-19 00:50:00,4,0,1,"[00:50:00,01:10:00)",2016-09-19,1,0,0,19,1
2016-09-19 01:10:00,17,0,1,"[01:10:00,01:30:00)",2016-09-19,1,0,1,19,1
2016-09-19 01:30:00,9,0,1,"[01:30:00,01:50:00)",2016-09-19,1,0,1,19,1
2016-09-19 01:50:00,10,0,1,"[01:50:00,02:10:00)",2016-09-19,1,0,1,19,1
2016-09-19 02:10:00,10,0,1,"[02:10:00,02:30:00)",2016-09-19,1,0,2,19,1
2016-09-19 02:30:00,8,0,1,"[02:30:00,02:50:00)",2016-09-19,1,0,2,19,1
2016-09-19 02:50:00,6,0,1,"[02:50:00,03:10:00)",2016-09-19,1,0,2,19,1
2016-09-19 03:10:00,7,0,1,"[03:10:00,03:30:00)",2016-09-19,1,0,3,19,1
2016-09-19 03:30:00,7,0,1,"[03:30:00,03:50:00)",2016-09-19,1,0,3,19,1
2016-09-19 03:50:00,9,0,1,"[03:50:00,04:10:00)",2016-09-19,1,0,3,19,1
2016-09-19 04:10:00,11,0,1,"[04:10:00,04:30:00)",2016-09-19,1,0,4,19,1
2016-09-19 04:30:00,13,0,1,"[04:30:00,04:50:00)",2016-09-19,1,0,4,19,1
2016-09-19 04:50:00,8,0,1,"[04:50:00,05:10:00)",2016-09-19,1,0,4,19,1
2016-09-19 05:10:00,1,0,1,"[05:10:00,05:30:00)",2016-09-19,1,0,5,19,1
2016-09-19 05:30:00,13,0,1,"[05:30:00,05:50:00)",2016-09-19,1,0,5,19,1
2016-09-19 05:50:00,11,0,1,"[05:50:00,06:10:00)",2016-09-19,1,0,5,19,1
2016-09-19 06:10:00,10,0,1,"[06:10:00,06:30:00)",2016-09-19,1,0,6,19,1
2016-09-19 06:30:00,26,0,1,"[06:30:00,06:50:00)",2016-09-19,1,0,6,19,1
2016-09-19 06:50:00,32,0,1,"[06:50:00,07:10:00)",2016-09-19,1,0,6,19,1
2016-09-19 07:10:00,35,0,1,"[07:10:00,07:30:00)",2016-09-19,1,0,7,19,1
2016-09-19 07:30:00,36,0,1,"[07:30:00,07:50:00)",2016-09-19,1,0,7,19,1
2016-09-19 07:50:00,43,0,1,"[07:50:00,08:10:00)",2016-09-19,1,0,7,19,1
2016-09-19 08:10:00,57,0,1,"[08:10:00,08:30:00)",2016-09-19,1,0,8,19,1
2016-09-19 08:30:00,42,0,1,"[08:30:00,08:50:00)",2016-09-19,1,0,8,19,1
2016-09-19 08:50:00,52,0,1,"[08:50:00,09:10:00)",2016-09-19,1,0,8,19,1
2016-09-19 09:10:00,43,0,1,"[09:10:00,09:30:00)",2016-09-19,1,0,9,19,1
2016-09-19 09:30:00,51,0,1,"[09:30:00,09:50:00)",2016-09-19,1,0,9,19,1
2016-09-19 09:50:00,41,0,1,"[09:50:00,10:10:00)",2016-09-19,1,0,9,19,1
2016-09-19 10:10:00,44,0,1,"[10:10:00,10:30:00)",2016-09-19,1,0,10,19,1
2016-09-19 10:30:00,47,0,1,"[10:30:00,10:50:00)",2016-09-19,1,0,10,19,1
2016-09-19 10:50:00,37,0,1,"[10:50:00,11:10:00)",2016-09-19,1,0,10,19,1
2016-09-19 11:10:00,37,0,1,"[11:10:00,11:30:00)",2016-09-19,1,0,11,19,1
2016-09-19 11:30:00,30,0,1,"[11:30:00,11:50:00)",2016-09-19,1,0,11,19,1
2016-09-19 11:50:00,34,0,1,"[11:50:00,12:10:00)",2016-09-19,1,0,11,19,1
2016-09-19 12:10:00,49,0,1,"[12:10:00,12:30:00)",2016-09-19,1,0,12,19,0
2016-09-19 12:30:00,52,0,1,"[12:30:00,12:50:00)",2016-09-19,1,0,12,19,0
2016-09-19 12:50:00,46,0,1,"[12:50:00,13:10:00)",2016-09-19,1,0,12,19,0
2016-09-19 13:10:00,68,0,1,"[13:10:00,13:30:00)",2016-09-19,1,0,13,19,0
2016-09-19 13:30:00,59,0,1,"[13:30:00,13:50:00)",2016-09-19,1,0,13,19,0
2016-09-19 13:50:00,54,0,1,"[13:50:00,14:10:00)",2016-09-19,1,0,13,19,0
2016-09-19 14:10:00,55,0,1,"[14:10:00,14:30:00)",2016-09-19,1,0,14,19,0
2016-09-19 14:30:00,50,0,1,"[14:30:00,14:50:00)",2016-09-19,1,0,14,19,0
2016-09-19 14:50:00,57,0,1,"[14:50:00,15:10:00)",2016-09-19,1,0,14,19,0
2016-09-19 15:10:00,42,0,1,"[15:10:00,15:30:00)",2016-09-19,1,0,15,19,0
2016-09-19 15:30:00,51,0,1,"[15:30:00,15:50:00)",2016-09-19,1,0,15,19,0
2016-09-19 15:50:00,44,0,1,"[15:50:00,16:10:00)",2016-09-19,1,0,15,19,0
2016-09-19 16:10:00,46,0,1,"[16:10:00,16:30:00)",2016-09-19,1,0,16,19,0
2016-09-19 16:30:00,41,0,1,"[16:30:00,16:50:00)",2016-09-19,1,0,16,19,0
2016-09-19 16:50:00,49,0,1,"[16:50:00,17:10:00)",2016-09-19,1,0,16,19,0
2016-09-19 17:10:00,37,0,1,"[17:10:00,17:30:00)",2016-09-19,1,0,17,19,0
2016-09-19 17:30:00,29,0,1,"[17:30:00,17:50:00)",2016-09-19,1,0,17,19,0
2016-09-19 17:50:00,27,0,1,"[17:50:00,18:10:00)",2016-09-19,1,0,17,19,0
2016-09-19 18:10:00,31,0,1,"[18:10:00,18:30:00)",2016-09-19,1,0,18,19,0
2016-09-19 18:30:00,23,0,1,"[18:30:00,18:50:00)",2016-09-19,1,0,18,19,0
2016-09-19 18:50:00,17,0,1,"[18:50:00,19:10:00)",2016-09-19,1,0,18,19,0
2016-09-19 19:10:00,13,0,1,"[19:10:00,19:30:00)",2016-09-19,1,0,19,19,0
2016-09-19 19:30:00,29,0,1,"[19:30:00,19:50:00)",2016-09-19,1,0,19,19,0
2016-09-19 19:50:00,19,0,1,"[19:50:00,20:10:00)",2016-09-19,1,0,19,19,0
2016-09-19 20:10:00,21,0,1,"[20:10:00,20:30:00)",2016-09-19,1,0,20,19,0
2016-09-19 20:30:00,11,0,1,"[20:30:00,20:50:00)",2016-09-19,1,0,20,19,0
2016-09-19 20:50:00,20,0,1,"[20:50:00,21:10:00)",2016-09-19,1,0,20,19,0
2016-09-19 21:10:00,16,0,1,"[21:10:00,21:30:00)",2016-09-19,1,0,21,19,0
2016-09-19 21:30:00,16,0,1,"[21:30:00,21:50:00)",2016-09-19,1,0,21,19,0
2016-09-19 21:50:00,4,0,1,"[21:50:00,22:10:00)",2016-09-19,1,0,21,19,0
2016-09-19 22:10:00,3,0,1,"[22:10:00,22:30:00)",2016-09-19,1,0,22,19,0
2016-09-19 22:30:00,10,0,1,"[22:30:00,22:50:00)",2016-09-19,1,0,22,19,0
2016-09-19 22:50:00,0,0,1,"[22:50:00,23:10:00)",2016-09-19,1,0,22,19,0
2016-09-19 23:10:00,2,0,1,"[23:10:00,23:30:00)",2016-09-19,1,0,23,19,0
2016-09-19 23:30:00,10,0,1,"[23:30:00,23:50:00)",2016-09-19,1,0,23,19,0
2016-09-19 23:50:00,11,0,1,"[23:50:00,00:00:00)",2016-09-19,1,0,23,19,0
2016-09-20 00:10:00,11,0,1,"[00:10:00,00:30:00)",2016-09-20,2,0,0,20,1
2016-09-20 00:30:00,10,0,1,"[00:30:00,00:50:00)",2016-09-20,2,0,0,20,1
2016-09-20 00:50:00,7,0,1,"[00:50:00,01:10:00)",2016-09-20,2,0,0,20,1
2016-09-20 01:10:00,6,0,1,"[01:10:00,01:30:00)",2016-09-20,2,0,1,20,1
2016-09-20 01:30:00,3,0,1,"[01:30:00,01:50:00)",2016-09-20,2,0,1,20,1
2016-09-20 01:50:00,7,0,1,"[01:50:00,02:10:00)",2016-09-20,2,0,1,20,1
